Flybase ID	Gene symbol	oocyte 2day_A	oocyte 2day_B	oocyte 2day_C	oocyte 8day_A	oocyte 8day_B	oocyte 8day_C	oocyte 12day_A	oocyte 12day_B	oocyte 12day_C	embryo 0-2hr_A	embryo 0-2hr_B	embryo 0-2hr_C	ttest 12 vs. 2 RPFs	fold change 12/2 RPFs
FBgn0014906	Hydr2	165.6	168.1	183.2	98.6	68.3	70.6	32.2	32.1	36.7	399.9	366.8	352.3	1.69E-05	0.20
FBgn0038570	Prx5	375.9	366.9	353.9	116.8	88.0	129.5	97.8	73.8	104.3	1617.7	1839.9	1576.0	1.71E-05	0.25
FBgn0284253	LeuRS	221.4	212.6	208.6	158.4	128.3	124.3	113.7	106.2	108.3	87.8	87.8	66.6	1.81E-05	0.51
FBgn0270926	AsnS	188.1	195.2	175.3	102.1	68.5	71.4	33.5	39.4	41.2	340.4	354.4	355.8	1.89E-05	0.20
FBgn0034617	Panx	132.2	142.7	135.3	59.0	66.0	69.4	47.5	39.5	45.5	87.3	85.3	81.4	1.93E-05	0.32
FBgn0042178	Apl	157.8	176.3	163.6	105.9	118.7	112.0	37.5	38.7	38.0	57.6	56.7	92.6	2.00E-05	0.23
FBgn0034237	eIF3b	756.9	701.8	700.7	418.6	436.1	444.7	277.6	271.9	258.1	750.2	731.6	665.8	2.05E-05	0.37
FBgn0032586	Tpr2	216.6	230.7	212.6	119.6	105.3	113.3	80.2	70.4	70.7	1139.7	1220.0	1255.3	2.14E-05	0.34
FBgn0034654	eIF3k	205.2	190.6	196.7	88.6	85.8	146.3	97.4	98.8	100.1	1047.6	1073.3	1124.0	2.19E-05	0.50
FBgn0036180	Duba	170.3	168.3	162.7	87.7	93.2	134.8	50.2	41.3	57.3	102.1	99.1	82.5	2.20E-05	0.30
FBgn0029134	Prosbeta5	1057.8	1052.2	1128.0	820.1	737.7	677.3	403.3	410.0	352.7	3648.5	3690.5	3602.6	2.21E-05	0.36
FBgn0026418	Hsc70Cb	1098.9	1080.4	1123.7	661.6	650.1	702.9	465.9	375.9	391.6	663.5	591.6	512.4	2.25E-05	0.37
FBgn0037643	ScsbetaA	459.8	419.1	434.2	243.8	300.0	361.4	156.6	147.2	160.1	1492.3	1438.4	1381.1	2.25E-05	0.35
FBgn0026402	NiPp1	136.6	149.2	141.0	74.7	57.3	73.3	21.7	18.9	8.1	78.4	83.2	90.5	2.26E-05	0.11
FBgn0004419	me31B	7841.4	7474.7	6941.8	4214.5	3386.2	4206.6	1507.4	1558.4	1426.2	3199.0	3034.7	2905.5	2.34E-05	0.20
FBgn0035593	CG4603	388.7	404.6	382.4	223.2	159.5	161.9	155.2	123.1	141.3	104.3	97.5	86.4	2.46E-05	0.36
FBgn0027588	GCS2alpha	767.0	708.3	778.4	462.1	406.5	399.1	272.6	270.6	275.6	1513.2	1128.2	1091.6	2.54E-05	0.36
FBgn0035438	PHGPx	383.6	355.7	341.2	242.5	104.1	128.0	65.5	74.4	55.4	1162.3	1244.6	1199.7	2.66E-05	0.18
FBgn0042177	Arts	188.6	205.7	186.8	129.8	152.9	137.4	60.1	58.3	62.2	85.0	75.5	107.0	2.66E-05	0.31
FBgn0035726	CG9953	1662.9	1740.6	1529.9	414.6	387.6	389.1	252.3	237.6	296.0	1867.3	1520.5	1567.8	2.71E-05	0.16
FBgn0010638	Sec61beta	328.9	283.0	323.4	106.5	163.6	137.6	0.0	0.0	0.0	537.1	585.1	501.1	2.74E-05	0.00
FBgn0002736	mago	183.0	187.7	172.8	184.7	82.5	43.7	75.3	66.9	66.0	520.7	666.2	717.5	2.99E-05	0.38
FBgn0039379	CG5886	137.3	143.5	154.9	53.0	57.6	46.8	27.8	30.0	22.4	62.1	53.5	56.1	3.02E-05	0.18
FBgn0029856	CG11700	996.8	1022.8	890.9	361.4	383.8	365.6	76.0	112.9	80.0	2425.0	2331.5	9655.9	3.06E-05	0.09
FBgn0037199	CG11137	852.6	740.5	817.6	383.4	394.3	285.9	112.4	107.4	117.4	1810.8	1750.1	1840.2	3.16E-05	0.14
FBgn0250848	26-29-p	6705.7	6475.8	7414.4	1445.2	1352.1	1418.1	987.7	934.9	1050.7	10493.4	7997.3	7709.9	3.25E-05	0.14
FBgn0028687	Rpt1	661.2	642.4	599.1	343.6	312.6	319.1	230.7	212.4	200.7	1651.1	1557.9	1378.5	3.26E-05	0.34
FBgn0050389	CG30389	29.2	29.1	30.6	16.1	18.6	15.5	11.9	9.7	12.0	37.9	41.5	25.4	3.31E-05	0.38
FBgn0038145	Droj2	402.5	402.8	423.7	226.5	221.1	228.9	184.0	156.9	184.2	4833.3	4296.7	4292.7	3.38E-05	0.43
FBgn0264493	rdx	205.3	212.6	212.9	119.6	239.3	313.0	65.5	67.6	45.4	548.6	514.5	527.5	3.62E-05	0.28
FBgn0028690	Rpn5	373.7	368.8	330.8	154.4	126.3	142.2	55.1	66.8	73.5	957.2	924.5	786.8	3.65E-05	0.18
FBgn0003943	Ubi-p63E	4441.5	4814.9	4227.9	3401.8	3081.7	3087.2	819.2	785.5	976.6	3555.5	3762.8	11596.5	3.66E-05	0.19
FBgn0032026	CG7627	32.1	30.9	33.4	20.8	15.7	16.6	6.3	7.2	3.5	64.1	71.1	65.2	3.70E-05	0.18
FBgn0016687	Nurf-38	189.8	209.9	215.7	61.7	70.1	82.9	28.1	36.9	39.2	1252.8	1325.3	1134.9	3.72E-05	0.17
FBgn0010288	Uch	2328.4	2155.8	2297.3	1455.4	1172.3	1215.7	1190.8	1187.8	1152.5	3450.6	3069.6	2753.7	3.79E-05	0.52
FBgn0023529	CG2918	271.5	296.7	263.6	109.4	125.6	126.3	74.8	64.5	71.6	306.3	256.3	174.7	3.81E-05	0.25
FBgn0283450	Glo1	119.9	134.2	113.2	25.9	64.1	32.6	0.0	0.0	0.0	1437.4	1442.0	1276.3	3.88E-05	0.00
FBgn0261987	Pxt	10140.0	9318.7	9787.6	4657.0	4304.1	4342.6	4037.6	3346.0	3731.9	3621.7	2755.2	2291.0	4.13E-05	0.38
FBgn0033663	ERp60	1881.5	1743.4	2006.3	603.2	595.5	581.9	410.0	410.2	412.0	4066.9	3349.9	3063.3	4.23E-05	0.22
FBgn0032052	PIG-U	100.3	94.8	97.2	55.1	43.7	46.6	27.6	30.0	18.9	95.6	92.0	91.5	4.28E-05	0.26
FBgn0002948	nod	278.6	288.6	313.4	146.1	172.2	173.9	92.8	94.8	95.0	67.4	62.4	56.5	4.29E-05	0.32
FBgn0003545	sub	127.7	127.1	123.7	72.9	59.3	55.9	48.3	43.3	34.0	371.0	376.4	361.1	4.32E-05	0.33
FBgn0262743	Fs(2)Ket	739.8	756.4	752.8	399.8	379.0	401.2	296.3	226.3	301.5	1969.1	1633.4	1358.8	4.34E-05	0.37
FBgn0032819	CG10463	11.2	12.1	11.4	5.4	9.2	6.7	2.5	3.7	3.4	80.2	77.5	79.0	4.70E-05	0.28
FBgn0027091	CysRS	116.8	123.1	134.2	56.3	48.0	35.5	20.9	27.1	24.0	213.1	232.9	211.1	4.90E-05	0.19
FBgn0038686	CG5555	148.1	156.0	165.3	71.8	57.2	71.2	29.9	31.3	15.8	16.2	19.8	16.0	4.91E-05	0.16
FBgn0013763	Idgf6	1414.0	1393.8	1566.0	636.3	571.6	625.3	429.7	400.1	369.8	3002.0	2537.1	2395.7	4.97E-05	0.27
FBgn0028692	Rpn2	416.3	420.5	449.6	314.2	272.8	290.0	215.2	198.6	215.4	811.2	663.5	543.1	5.03E-05	0.49
FBgn0027549	Nulp1	125.0	125.1	137.8	56.9	58.6	80.9	35.2	42.9	35.8	374.3	327.1	409.6	5.04E-05	0.29
FBgn0027378	MRG15	70.0	69.4	77.5	38.0	24.7	27.4	22.3	19.2	21.4	265.1	274.8	285.9	5.04E-05	0.29
FBgn0260439	Pp2A-29B	1009.9	989.6	1068.8	646.0	613.3	603.0	531.0	479.8	509.2	2685.6	2349.0	2378.5	5.10E-05	0.50
FBgn0050382	CG30382	2174.4	1900.3	2159.8	977.6	903.6	998.9	396.6	411.4	328.1	1735.8	1643.6	3007.3	5.20E-05	0.18
FBgn0263121	Prosalpha1	2174.4	1900.3	2159.8	977.6	903.6	998.9	396.6	411.4	328.1	1735.8	1643.6	3007.3	5.20E-05	0.18
FBgn0032030	Wdr82	164.5	156.2	165.6	94.5	53.2	79.8	53.6	61.9	69.5	654.1	645.1	625.5	5.21E-05	0.38
FBgn0265190	PIG-S	83.7	75.2	76.7	15.9	22.1	24.0	10.4	18.5	15.2	183.6	140.1	130.9	5.38E-05	0.19
FBgn0004598	Fur2	116.4	117.1	124.0	117.8	116.7	111.5	67.0	64.7	69.9	266.2	370.9	250.8	5.42E-05	0.56
FBgn0027779	VhaSFD	119.9	106.2	114.5	72.5	75.4	75.2	34.4	33.9	39.3	392.2	430.8	383.5	5.68E-05	0.32
FBgn0037632	CCT7	608.4	576.8	534.9	311.0	281.6	277.6	169.7	179.9	153.1	1861.6	1571.2	1345.6	5.72E-05	0.29
FBgn0035401	Alg2	36.6	35.6	37.5	23.2	23.3	17.9	5.2	10.4	8.3	83.9	74.4	72.4	5.89E-05	0.22
FBgn0031066	COX6B	1132.3	1080.6	1203.0	508.8	492.3	496.4	379.0	277.7	318.8	3180.6	3583.6	3278.0	6.05E-05	0.29
FBgn0044511	mRpS21	856.0	887.7	813.1	379.4	465.3	487.4	299.1	368.1	322.3	491.8	570.0	647.5	6.09E-05	0.39
FBgn0260771	Larp7	103.6	91.3	103.5	49.1	45.2	60.0	23.6	25.1	19.9	64.4	52.6	58.0	6.17E-05	0.23
FBgn0000454	Dip-B	306.0	268.8	286.2	173.1	142.2	161.9	98.8	95.4	91.3	1299.0	1085.2	862.1	6.26E-05	0.33
FBgn0040493	grsm	346.3	343.7	366.8	204.5	198.8	187.0	120.4	103.6	77.8	931.9	904.4	659.6	6.26E-05	0.29
FBgn0250843	Prosalpha6	1491.3	1408.9	1508.4	1022.3	881.0	856.7	610.4	671.4	537.8	4594.5	4519.3	4493.3	6.27E-05	0.41
FBgn0034062	CG8388	24.5	22.4	25.4	5.0	7.5	7.9	3.3	1.3	0.0	13.8	17.2	18.0	6.53E-05	0.06
FBgn0014417	CG13397	125.8	124.5	117.7	82.7	72.2	78.6	52.3	55.8	44.7	287.5	250.7	235.2	6.53E-05	0.42
FBgn0030693	CG8974	231.6	201.0	207.3	88.4	68.0	67.2	20.4	34.2	13.8	334.6	369.2	672.1	6.78E-05	0.11
FBgn0016697	Prosalpha5	1132.6	1189.3	1249.6	663.3	509.8	568.7	351.4	430.1	311.6	3149.0	3065.8	3185.3	6.97E-05	0.31
FBgn0010342	Map60	476.0	490.8	439.0	303.2	264.5	284.2	178.2	181.8	198.7	1060.2	1171.4	1226.6	7.10E-05	0.40
FBgn0286818	Pdi	386.7	391.0	413.1	223.9	212.6	222.9	132.9	147.6	173.9	3509.1	2660.9	2446.3	7.18E-05	0.38
FBgn0266064	GlyS	309.4	302.6	289.4	158.5	183.0	171.9	103.0	129.2	98.4	1096.6	1012.8	875.5	7.20E-05	0.37
FBgn0020238	14-3-3epsilon	1922.5	2126.0	2175.7	1357.8	852.5	1504.6	745.1	689.1	641.4	7713.8	7956.3	9914.8	7.63E-05	0.33
FBgn0038369	Arpc3A	200.7	197.1	210.3	51.2	74.7	84.1	37.6	53.3	21.6	218.2	252.9	200.2	7.72E-05	0.19
FBgn0017566	ND-75	187.1	185.8	204.1	101.4	116.1	107.9	76.9	84.4	86.8	558.1	436.8	360.4	7.74E-05	0.43
FBgn0010488	NAT1	1642.2	1650.3	1708.4	988.7	907.0	854.6	821.8	705.5	638.6	1090.3	1069.6	1003.7	8.00E-05	0.43
FBgn0011336	Stt3B	137.8	139.1	119.9	59.7	88.4	64.9	18.5	26.8	23.9	241.6	201.1	192.8	8.08E-05	0.17
FBgn0031493	Sf3b2	88.8	96.1	91.6	42.5	45.3	56.9	38.2	41.1	32.3	410.5	406.2	374.9	8.10E-05	0.40
FBgn0032050	CG13096	362.1	396.5	393.1	193.9	145.3	176.4	158.0	135.9	122.7	844.7	782.4	754.6	8.30E-05	0.36
FBgn0040754	CG17059	937.1	816.8	906.0	203.7	238.8	236.4	0.0	0.0	113.2	450.9	481.5	641.3	8.36E-05	0.04
FBgn0021995	Rs1	65.4	74.6	72.9	35.4	37.6	31.8	17.4	20.9	21.8	116.3	135.1	157.8	8.41E-05	0.28
FBgn0036918	Pfdn6	695.0	667.6	656.7	178.1	263.5	354.1	127.2	208.6	213.9	783.1	773.4	864.9	8.53E-05	0.27
FBgn0034432	CG7461	313.4	341.5	289.3	118.6	115.7	125.2	64.2	71.5	69.3	382.9	386.4	328.9	8.56E-05	0.22
FBgn0014861	Mcm2	373.5	363.0	406.9	242.8	249.1	217.4	169.9	165.1	164.4	443.9	445.9	350.9	8.72E-05	0.44
FBgn0011726	tsr	3234.7	2991.3	3511.3	1322.2	1217.4	1285.2	839.2	723.5	777.1	8322.7	9376.5	10047.9	8.87E-05	0.24
FBgn0023521	CG3587	16.2	17.6	15.6	7.6	0.0	7.1	0.0	2.4	0.0	100.6	82.2	102.4	9.03E-05	0.05
FBgn0086254	CG6084	830.4	788.3	756.7	401.5	450.4	474.9	290.5	325.3	244.4	2903.6	2633.2	2185.0	9.08E-05	0.36
FBgn0033935	Sin1	91.0	90.1	97.1	56.6	60.5	42.7	42.3	40.7	34.0	72.1	74.5	76.7	9.18E-05	0.42
FBgn0016696	Pitslre	110.3	120.3	118.3	51.3	53.3	47.9	33.1	33.6	19.6	427.5	520.7	516.2	9.18E-05	0.25
FBgn0052581	CG32581	133.6	118.8	111.8	60.3	39.6	37.1	4.5	12.5	13.5	212.1	231.9	523.3	9.28E-05	0.08
FBgn0026261	bonsai	152.3	159.4	142.8	101.9	73.2	101.9	52.1	58.7	44.7	63.1	91.0	110.5	9.30E-05	0.34
FBgn0034277	OstDelta	127.9	131.5	115.8	51.5	58.7	57.4	33.2	38.2	26.2	1384.7	1141.1	1100.3	9.62E-05	0.26
FBgn0015218	eIF4E1	729.7	695.1	760.5	303.1	260.2	323.2	155.9	236.3	238.3	1195.1	994.8	698.8	9.70E-05	0.29
FBgn0263594	lost	450.8	431.1	486.2	306.8	281.7	307.7	184.8	193.4	170.2	1634.7	1346.3	1214.2	9.78E-05	0.40
FBgn0035383	CPT2	61.3	69.1	64.5	35.6	44.4	38.2	23.5	26.4	21.8	167.2	169.4	174.8	1.00E-04	0.37
FBgn0035603	Pfdn4	1126.3	982.0	1120.2	457.9	391.0	420.4	262.5	325.8	273.5	719.7	714.5	849.7	1.02E-04	0.27
FBgn0015283	Rpn10	1402.0	1552.3	1552.3	873.3	885.2	907.4	725.6	705.1	728.5	2546.5	2112.8	1886.2	1.02E-04	0.48
FBgn0001218	Hsc70-3	2454.8	2436.7	2793.5	1246.8	1218.7	1278.5	748.5	665.8	757.4	4584.4	3150.5	2634.8	1.05E-04	0.28
FBgn0261020	wol	31.3	30.3	33.0	0.0	18.0	27.4	11.8	12.4	8.8	311.8	287.4	281.4	1.09E-04	0.35
FBgn0015544	spag	219.4	247.1	222.0	113.8	123.5	120.7	75.0	60.6	52.8	87.0	60.0	68.1	1.09E-04	0.27
FBgn0284243	betaTub56D	2537.7	2763.4	2443.2	1138.4	1447.7	1310.0	985.3	1101.8	973.2	27282.1	24346.4	23500.6	1.12E-04	0.40
FBgn0017577	Mcm5	555.3	568.8	502.0	286.3	321.3	306.8	233.9	229.4	218.2	685.5	654.0	547.7	1.14E-04	0.42
FBgn0025582	eIF3e	118.5	130.6	137.8	65.7	102.3	64.7	40.1	31.5	37.6	1220.7	1222.1	1051.5	1.15E-04	0.28
FBgn0003676	CCT1	362.9	322.3	315.9	166.8	179.1	174.1	88.5	91.8	107.6	1192.0	1058.3	833.6	1.15E-04	0.29
FBgn0031604	Elp3	67.6	71.0	62.3	49.3	38.9	24.8	29.0	28.5	27.4	82.4	93.9	90.4	1.15E-04	0.42
FBgn0266441	CG45071	16.4	17.4	16.1	6.1	7.3	7.0	6.0	7.5	5.8	28.8	33.2	22.1	1.16E-04	0.39
FBgn0037376	Hat1	453.4	410.1	407.2	255.4	234.7	228.8	182.5	167.9	153.4	1162.2	1205.9	989.5	1.17E-04	0.40
FBgn0000042	Act5C	3601.9	3585.6	3933.7	2574.7	2604.0	2686.9	2020.8	1960.3	2005.4	28163.1	23231.2	25805.2	1.18E-04	0.54
FBgn0001222	Hsf	62.0	64.5	60.0	47.4	46.4	56.7	31.6	25.5	26.0	283.4	301.1	332.5	1.24E-04	0.45
FBgn0285926	Imp	440.3	398.0	401.0	276.9	261.3	284.7	185.5	184.3	204.7	297.0	299.1	250.9	1.27E-04	0.46
FBgn0002924	ncd	173.4	164.7	194.1	70.0	74.2	131.8	48.3	48.7	52.3	334.6	325.7	305.6	1.32E-04	0.28
FBgn0027088	GlyRS	309.9	300.7	305.8	176.6	167.6	162.5	139.6	123.3	96.5	330.7	308.3	228.4	1.33E-04	0.39
FBgn0039293	Alg9	139.9	161.5	148.4	63.3	60.2	76.2	31.7	20.9	39.4	252.1	278.4	255.9	1.33E-04	0.20
FBgn0262732	mbf1	1656.5	1735.3	1435.3	785.6	756.7	782.6	268.5	254.6	162.7	730.8	790.2	820.7	1.34E-04	0.14
FBgn0033209	CG12107	618.5	615.3	590.0	297.7	295.3	319.6	181.1	72.6	94.7	58.6	94.7	68.9	1.38E-04	0.19
FBgn0262716	Arp3	99.2	93.1	98.2	49.8	33.4	45.9	17.0	28.3	10.9	173.9	199.1	253.0	1.38E-04	0.19
FBgn0027949	msb1l	135.0	131.3	152.1	77.4	67.6	73.8	44.1	39.5	34.2	295.6	247.8	334.0	1.38E-04	0.28
FBgn0040064	yip2	778.4	705.0	695.3	314.3	349.8	299.9	170.8	255.8	215.6	1091.8	1003.0	898.5	1.40E-04	0.29
FBgn0260817	gkt	163.5	150.5	156.0	89.7	104.7	98.1	46.4	42.6	22.2	103.5	88.7	88.5	1.42E-04	0.24
FBgn0086912	mbm	85.2	84.3	76.1	43.8	30.2	30.5	18.3	27.5	18.1	115.8	115.6	124.6	1.42E-04	0.26
FBgn0040079	pkaap	35.7	33.7	31.4	25.1	10.0	18.9	14.3	12.5	14.3	30.7	36.7	35.4	1.42E-04	0.41
FBgn0002878	mus101	58.2	62.6	61.8	48.7	55.7	50.2	36.3	35.0	31.9	89.6	71.3	56.7	1.43E-04	0.57
FBgn0031052	Elys	47.2	45.4	46.6	31.8	36.5	34.2	27.2	23.8	28.1	149.8	147.9	153.6	1.44E-04	0.57
FBgn0024188	san	1497.5	1388.9	1379.5	1270.5	1115.3	1136.4	813.1	868.8	828.6	3380.8	3632.4	3551.0	1.45E-04	0.59
FBgn0039358	CG5028	174.9	187.5	165.7	105.4	109.6	107.0	35.2	55.7	33.6	838.8	726.1	714.0	1.45E-04	0.24
FBgn0010431	mtrm	6766.6	6555.6	6781.6	5192.9	5208.3	5177.8	5326.5	5140.5	5366.7	1157.9	957.9	1001.5	1.46E-04	0.79
FBgn0028734	Fmr1	253.2	247.8	272.2	123.3	146.7	155.9	98.9	83.6	113.1	111.2	127.7	92.8	1.47E-04	0.38
FBgn0027554	CG8042	47.4	46.4	41.7	24.7	18.4	15.3	16.5	12.0	14.2	248.3	232.2	230.9	1.47E-04	0.32
FBgn0015075	Ddx1	144.1	120.3	136.5	44.9	36.9	48.6	29.8	23.7	32.2	176.7	141.6	117.9	1.48E-04	0.21
FBgn0032488	CG16812	295.3	320.4	314.6	233.4	208.2	215.7	116.4	128.1	87.6	255.7	249.5	305.8	1.50E-04	0.36
FBgn0036887	CG9231	332.7	338.5	385.1	124.6	140.3	136.4	85.3	101.2	110.0	1172.1	1442.7	1376.3	1.51E-04	0.28
FBgn0030956	CG18259	57.1	66.6	56.7	27.5	31.2	22.5	9.3	11.9	13.7	270.0	305.6	556.6	1.57E-04	0.19
FBgn0034902	CG5532	768.5	687.4	636.2	255.8	173.5	166.9	137.6	95.6	142.4	1024.0	986.5	1140.8	1.57E-04	0.18
FBgn0015222	Fer1HCH	1962.8	1857.3	2047.5	820.1	852.5	960.6	774.7	816.6	588.6	7781.3	6561.5	6470.4	1.60E-04	0.37
FBgn0000043	Act42A	1259.5	1219.1	1390.7	777.0	674.0	681.4	434.7	417.4	519.5	3168.1	3050.0	2945.3	1.63E-04	0.35
FBgn0039562	Gp93	220.0	199.3	200.3	111.6	121.4	99.4	56.5	59.1	81.1	1318.6	940.9	901.2	1.65E-04	0.32
FBgn0267727	Pen	2838.7	2713.0	3193.2	1582.7	1471.9	1591.0	882.6	886.4	967.2	9401.1	7946.4	7119.4	1.65E-04	0.31
FBgn0040290	RecQ4	165.3	188.8	185.4	119.9	120.7	114.8	78.5	77.6	80.6	61.4	64.3	49.1	1.66E-04	0.44
FBgn0036306	CG10973	100.4	110.2	103.2	64.1	56.1	62.4	21.0	36.6	32.2	62.7	76.2	87.6	1.67E-04	0.29
FBgn0032479	CG16974	141.3	157.9	158.5	82.1	95.5	77.1	73.6	65.9	70.3	329.2	326.8	283.8	1.69E-04	0.46
FBgn0023174	Prosbeta2	906.9	856.9	918.0	474.9	389.6	386.4	173.2	252.6	323.8	3059.4	3200.3	2996.3	1.70E-04	0.28
FBgn0259682	Jabba	533.4	581.4	635.2	146.9	219.5	258.4	62.0	132.1	75.6	1126.8	1154.5	946.7	1.71E-04	0.15
FBgn0053828	His1:CG33828	11.0	12.7	10.3	0.0	0.0	1.1	0.8	1.3	0.0	1.2	3.0	20.0	1.72E-04	0.06
FBgn0012036	Aldh	611.0	533.0	513.1	310.6	264.6	328.9	147.8	150.6	143.6	1283.6	1035.2	867.6	1.73E-04	0.27
FBgn0029687	Vap33	646.6	617.1	749.6	258.5	191.8	284.8	109.4	61.6	48.7	2059.6	1742.1	1927.7	1.73E-04	0.11
FBgn0085436	Not1	140.4	157.1	154.8	85.9	91.9	78.8	77.9	71.5	70.4	399.5	445.0	373.0	1.74E-04	0.49
FBgn0051354	Hsp70Bbb	23.7	27.9	24.2	10.1	12.3	11.3	1.6	3.1	4.8	20.0	15.3	79.7	1.75E-04	0.12
FBgn0001226	Hsp27	17532.9	17002.1	20107.5	9115.1	7757.9	7988.5	5261.6	4793.8	5273.3	9300.1	8276.8	6629.9	1.75E-04	0.28
FBgn0023143	Uba1	418.8	377.4	387.6	235.8	287.1	229.4	199.7	171.1	195.3	985.2	747.9	640.9	1.76E-04	0.48
FBgn0037442	gzl	16.1	16.8	16.3	6.2	7.4	7.9	3.5	2.5	0.0	39.9	37.7	28.4	1.77E-04	0.12
FBgn0011016	SsRbeta	444.7	374.2	429.1	200.0	167.3	191.9	84.3	75.6	113.2	518.0	431.9	364.2	1.78E-04	0.22
FBgn0034372	Gint3	72.7	84.8	79.1	29.9	19.2	27.4	14.8	22.8	13.0	147.7	131.8	84.8	1.79E-04	0.21
FBgn0030710	CG8924	35.9	42.4	38.7	16.6	16.9	20.5	11.3	12.2	13.5	244.7	249.5	272.6	1.80E-04	0.32
FBgn0022213	Cse1	752.2	762.8	701.3	493.6	425.3	470.8	418.8	358.1	368.6	850.7	842.5	627.1	1.80E-04	0.52
