submitted_item	validated_id	current_symbol
Arc42	FBgn0038742	Arc42
Arc-p20	FBgn0284255	Arpc4
Arc-p34	FBgn0032859	Arpc2
Ard1	FBgn0263251	vnc
Arf102F	FBgn0013749	Arf102F
CG12030	FBgn0035147	Gale
Arf72A	FBgn0000115	Arl1
Arf79F	FBgn0010348	Arf79F
Arf84F	FBgn0004908	Arl2
Arf84F	FBgn0004908	Arl2
Argk	FBgn0000116	Argk
arg	FBgn0023535	arg
arg	FBgn0004569	aos
ari-1	FBgn0017418	ari-1
ari-2	FBgn0025186	ari-2
Arl8	FBgn0037551	Arl8
armi	FBgn0041164	armi
arm	FBgn0000117	arm
arm	FBtp0001210	P{GAL4-arm.S}
arm	FBgn0000117	arm
arm	FBtp0001210	P{GAL4-arm.S}
arm	FBgn0000117	arm
arm	FBtp0001210	P{GAL4-arm.S}
arm	FBgn0000117	arm
arm	FBtp0001210	P{GAL4-arm.S}
Arp11	FBgn0031050	Arp10
Arp14D	FBgn0011742	Arp2
Arp5	FBgn0038576	Arp5
Arp66B	FBgn0262716	Arp3
Arp87C	FBgn0011745	Arp1
Arp8	FBgn0030877	Arp8
Arpc3A	FBgn0038369	Arpc3A
ARP-like	FBgn0027095	Manf
Art1	FBgn0037834	Art1
Art3	FBgn0038306	Art3
CG32069	FBgn0052069	CG32069
Art7	FBgn0034817	Art7
Art8	FBgn0032329	Art8
asf1	FBgn0029094	asf1
ash2	FBgn0000139	ash2
asl	FBgn0261004	asl
asparagine-synthetase	FBgn0270926	AsnS
asp	FBgn0000140	asp
asp	FBal0000773	asp[1]
asrij	FBgn0034793	asrij
As	FBgn0061469	Ube3a
Ate1	FBgn0025720	Ate1
Ate1	FBgn0025720	Ate1
Ate1	FBgn0025720	Ate1
Ate1	FBgn0025720	Ate1
Atg12	FBgn0036255	Atg12
Atg18	FBgn0035850	Atg18a
Atg18	FBgn0032935	Atg18b
Atg1	FBgn0260945	Atg1
Atg2	FBgn0044452	Atg2
Atg4	FBgn0038325	Atg4b
Atg4	FBgn0031298	Atg4a
Atg5	FBgn0029943	Atg5
Atg7	FBgn0034366	Atg7
Atg8a	FBgn0052672	Atg8a
Atg8a	FBgn0052672	Atg8a
yin	FBgn0265575	yin
atl	FBgn0039213	atl
atl	FBgn0037526	ArgRS-m
atms	FBgn0010750	atms
ATP7	FBgn0030343	ATP7
CG30377	FBgn0050377	CG30377
ATPCL	FBgn0020236	ATPCL
ATPCL	FBgn0020236	ATPCL
ATPCL	FBgn0020236	ATPCL
ATPsyn-beta	FBgn0010217	ATPsynbeta
ATPsyn-b	FBgn0010217	ATPsynbeta
ATPsyn-b	FBgn0019644	ATPsynB
ATPsyn-Cf6	FBgn0016119	ATPsynCF6
ATPsyn-d	FBgn0016120	ATPsynD
ATPsyn-gamma	FBgn0020235	ATPsyngamma
AttC	FBgn0041579	AttC
Atu	FBgn0019637	Atu
Atx2	FBgn0041188	Atx2
aub	FBgn0000146	aub
aur	FBgn0000147	aurA
Aut1	FBgn0036813	Atg3
aux	FBgn0037218	aux
awd	FBgn0000150	awd
Axs	FBgn0000152	Axs
Axs	FBgn0000152	Axs
B4	FBgn0023407	B4
B4	FBab0008508	T(Y;2)B4
B4	FBab0009720	Tp(1;Y)B4
B4	FBgn0013686	mt:lrRNA
B4	FBal0043283	l(1)9Fl[B4]
B4	FBtp0069197	P{AP-2-lacZ.B4}
B4	FBtp0056093	P{UAS-VGlut.B4.GFP}
B4	FBtp0052829	P{B4-EGFP}
B52	FBgn0004587	B52
B52	FBab0006748	T(1;Y)B52
B52	FBgn0044007	Su(rst)B52
B52	FBal0121934	Su(rst)B52[B52]
B52	FBtp0056125	P{UAS-VGlut.B52.GFP}
baf	FBgn0031977	baf
Cat	FBgn0000261	Cat
Cat	FBab0002301	Df(3L)Cat
Cat	FBgn0000303	ChAT
Cat	FBgn0005561	sv
Cat	FBal0015987	sv[spa-Cat]
Cat	FBtp0137331	P{UAS-Parp.Cat.EYFP}
Baldspot	FBgn0260960	Baldspot
ball	FBgn0027889	ball
CG11266	FBgn0031883	Caper
Bap55	FBgn0025716	Bap55
Bap60	FBgn0025463	Bap60
Bap	FBgn0010380	AP-1-2beta
Bap	FBgn0004862	bap
barr	FBgn0014127	barr
baz	FBgn0000163	baz
CG11120	FBgn0039250	Mink
BcDNA.GH02220	unknown ID	-
BcDNA.GH02431	unknown ID	-
BcDNA.GH02678	unknown ID	-
BcDNA.GH02901	unknown ID	-
BcDNA:GH03163	FBgn0027598	cindr
BcDNA.GH04637	unknown ID	-
BcDNA:GH04929	FBgn0026411	Lim1
BcDNA.GH04962	unknown ID	-
BcDNA.GH04978	unknown ID	-
BcDNA:GH06032	FBgn0027582	CG6230
BcDNA.GH07269	unknown ID	-
BcDNA.GH07688	unknown ID	-
BcDNA.GH07774	unknown ID	-
BcDNA.GH07921	unknown ID	-
BcDNA.GH08385	unknown ID	-
BcDNA.GH09817	unknown ID	-
BcDNA.GH10614	unknown ID	-
BcDNA.GH11023	unknown ID	-
BcDNA:LD19168	FBgn0027866	CG9776
BcDNA:LD21293	FBgn0027532	CG7139
BcDNA:LD22910	FBgn0028476	Usp1
BcDNA.LD23371	unknown ID	-
BcDNA.LD23587	unknown ID	-
BcDNA.LD23634	FBgn0028474	CG4119
BcDNA.LD26050	unknown ID	-
BcDNA.LD29892	unknown ID	-
BcDNA.LD34475	unknown ID	-
bcd	FBgn0000166	bcd
BCL7-like	FBgn0026149	BCL7-like
bcn92	FBgn0013432	bcn92
bcn92	FBgn0013432	bcn92
Bc	FBgn0283437	PPO1
Bc	FBgn0002022	Catsup
Bc	FBgn0013279	Hsp70Bc
Bc	FBal0001073	PPO1[Bc]
bel	FBgn0263231	bel
ben	FBgn0000173	ben
ben	FBgn0052594	be
Best2	FBgn0035696	Best2
BEST:CK01296	FBgn0025700	CG5885
BEST:CK01510	FBgn0261794	kcc
BEST:CK02656	FBgn0025683	CG3164
BEST:CK02656	FBgn0025683	CG3164
BEST:LD13441	FBgn0028953	CG14478
BEST:LD13681	FBgn0026147	TTLL4A
BEST:LD25345	FBgn0027070	Ugt36E1
BEST:LD30049	FBgn0026570	CG5704
beta'Cop	FBgn0025724	beta'COP
betaCop	FBgn0008635	betaCOP
betaggt-II	FBgn0028970	betaggt-II
betaggt-I	FBgn0015000	betaggt-I
Nle	FBgn0021874	Nle
betaTub56D	FBgn0284243	betaTub56D
betaTub56D	FBgn0284243	betaTub56D
betaTub60D	FBgn0003888	betaTub60D
betaTub85D	FBgn0003889	betaTub85D
betaTub97EF	FBgn0003890	betaTub97EF
BG4	FBgn0038928	Fadd
BG4	FBtp0016758	P{bam-GAL4:VP16}
BG:DS00797.1	FBgn0028541	TM9SF4
BG:DS00929.2	FBgn0261881	l(2)35Be
BG:DS00941.11	FBgn0053307	CG33307
BG:DS00941.11	FBgn0053306	CG33306
BG:DS02740.2	FBgn0028897	CG4935
BG:DS02780.1	FBgn0028523	CG5888
BG:DS07295.3	FBgn0283467	Pol32
BG:DS07473.2	FBgn0028515	EndoGI
BG:DS09217.4	FBgn0028507	CG3793
bgm	FBgn0027348	bgm
BicC	FBgn0000182	BicC
BicD	FBgn0000183	BicD
bic	FBgn0000181	bic
bic	FBgn0000166	bcd
bic	FBal0001133	bic[1]
bif	FBgn0014133	bif
bin3	FBgn0263144	bin3
bip2	FBgn0026262	bip2
Bj1	FBgn0002638	Rcc1
blp	FBgn0038387	blp
blp	FBgn0260960	Baldspot
bl	FBgn0000193	Bl
bl	FBgn0267791	HnRNP-K
blue	FBgn0283709	blue
blue	FBgn0283503	Neurl4
blw	FBgn0011211	blw
Bmcp	FBgn0036199	Bmcp
bmm	FBgn0036449	bmm
bnb	FBgn0001090	bnb
boca	FBgn0004132	boca
boca	FBgn0004132	boca
bocksbeutel	FBgn0037719	bocks
boi	FBgn0040388	boi
bol	FBgn0011206	bol
bonsai	FBgn0026261	bonsai
bon	FBgn0023097	bon
Elp3	FBgn0031604	Elp3
bor	FBgn0287225	bor
HP1b	FBgn0030082	HP1b
Brd8	FBgn0039654	Brd8
Bre1	FBgn0086694	Bre1
brm	FBgn0000212	brm
brn	FBgn0000221	brn
Sip1	FBgn0010620	CG10939
Sip1	FBgn0024191	sip1
Bruce	FBgn0266717	Bruce
BRWD3	FBgn0011785	BRWD3
bsf	FBgn0284256	bsf
Bsg25D	FBgn0000228	Bsg25D
Chd64	FBgn0035499	Chd64
bsk	FBgn0000229	bsk
bs	FBgn0004101	bs
bs	FBgn0000240	bv
bs	FBgn0004101	bs
bs	FBgn0000240	bv
BthD	FBgn0030501	BthD
btv	FBgn0023096	btv
btz	FBgn0045862	btz
Bub1	FBgn0031696	Bub1
Bub1	FBgn0263855	BubR1
Bub3	FBgn0025457	Bub3
BubR1	FBgn0263855	BubR1
bun	FBgn0259176	bun
bur	FBgn0000239	bur
bur	FBal0001338	bur[1]
Bx42	FBgn0004856	Bx42
bys	FBgn0010292	bys
CG8444	FBgn0037671	ATP6AP2
c11.1	FBgn0040236	c11.1
mRpL43	FBgn0034893	mRpL43
c12.2	FBgn0040234	c12.2
c550	FBgn0038224	ATPsynE
CaBP1	FBgn0025678	CaBP1
cactin	FBgn0031114	cactin
cact	FBgn0000250	cact
Cad74A	FBgn0036715	Cad74A
Cad87A	FBgn0037963	Cad87A
Cad88C	FBgn0038247	Cad88C
Caf1-105	FBgn0033526	Caf1-105
Caf1-180	FBgn0030054	Caf1-180
Caf1	FBgn0033526	Caf1-105
Caf1	FBgn0036239	Pop2
Caf1	FBgn0030054	Caf1-180
Caf1	FBgn0263979	Caf1-55
CG17018	FBgn0039972	Marf1
Caki	FBgn0013759	CASK
Caki	FBgn0013759	CASK
nrv1	FBgn0015776	nrv1
CG10254	FBgn0027512	CG10254
CalpB	FBgn0025866	CalpB
Calx	FBgn0013995	Calx
CaMKII	FBgn0264607	CaMKII
CaMKI	FBgn0016126	CaMKI
Cam	FBgn0000253	Cam
Cam	FBgn0264607	CaMKII
CanA-14F	FBgn0267912	CanA-14F
CanA1	FBgn0010015	CanA1
cana	FBgn0040233	cana
CanB2	FBgn0015614	CanB2
Ca-P60A	FBgn0263006	SERCA
CAP-D2	FBgn0039680	Cap-D2
CAP-D2	FBgn0051989	Cap-D3
Cap-G	FBgn0259876	Cap-G
Cap	FBgn0015615	SMC3
Cap	FBgn0261458	capt
capt	FBgn0261458	capt
car	FBgn0000257	car
car	FBal0051717	car[unspecified]
casp	FBgn0034068	casp
RhoGAP19D	FBgn0031118	RhoGAP19D
cathD	FBgn0029093	cathD
ca	FBgn0000247	ca
ca	FBgn0002924	ncd
ca	FBal0001461	ca[1]
ca	FBal0049363	ca[unspecified]
Csat	FBgn0024994	Ugalt
Catsup	FBgn0002022	Catsup
cav	FBgn0026257	cav
cav	FBal0150540	cav[1]
caz	FBgn0285954	caz
caz	FBab0045825	Df(1)BSC759
caz	FBgn0285954	caz
caz	FBab0045825	Df(1)BSC759
Cbl	FBgn0020224	Cbl
Cbp80	FBgn0022942	Cbp80
CBP	FBgn0026144	CBP
CBP	FBgn0015218	eIF4E1
CBP	FBgn0261617	nej
Cchl	FBgn0038925	Cchl
CCS	FBgn0010531	Ccs
Cct1	FBgn0041342	Pcyt1
Cct1	FBgn0003676	CCT1
Cct5	FBgn0010621	CCT5
Cctgamma	FBgn0015019	CCT3
cdc16	FBgn0025781	Cdc16
cdc23	FBgn0032863	Cdc23
Cdc27	FBgn0012058	Cdc27
cdc2c	FBgn0004107	Cdk2
cdc2rk	FBgn0013435	Cdc2rk
cdc2	FBgn0004106	Cdk1
cdc2	FBgn0001086	fzy
Cdc37	FBgn0011573	Cdc37
Cdc42	FBgn0010341	Cdc42
CDC45L	FBgn0026143	Cdc45
IM10	FBgn0283462	IMPPP
Cdep	FBgn0265082	Cdep
CdGAPr	FBgn0032821	CdGAPr
Cdk5	FBgn0013762	Cdk5
Cdk7	FBgn0263237	Cdk7
Cdk8	FBgn0015618	Cdk8
Cdk9	FBgn0019949	Cdk9
cdm	FBgn0261532	cdm
Ced-12	FBgn0032409	Ced-12
cher	FBgn0014141	cher
cenB1A	FBgn0039056	CenB1A
cer	FBgn0034443	cer
CG10031	FBgn0031563	CG10031
CG10038	FBgn0038013	CG10038
CG10050	FBgn0037492	CG10050
CG10055	FBgn0037482	CG10055
CG10057	FBgn0051510	CG31510
CG10057	FBgn0051108	TTLL5
CG10075	FBgn0035722	CG10075
CG10080	FBgn0034641	mahj
CG10083	FBgn0036372	Abp1
CG10092	FBgn0037526	ArgRS-m
CG10098	FBgn0037472	CG10098
CG10103	FBgn0035715	Ist1
CG10107	FBgn0035713	velo
CG10133	FBgn0036366	JMJD7
CG10144	FBgn0035704	Vps8
CG10153	FBgn0266723	Trs31
CG10157	FBgn0039099	GILT2
CG10158	FBgn0031871	Fgop2
CG10166	FBgn0032799	Dpm1
CG10178	FBgn0032684	Ugt301D1
CG1017	FBgn0035294	Mfap1
CG10184	FBgn0039094	CG10184
CG10188	FBgn0032796	cyst
CG10189	FBgn0032793	CG10189
l(3)82Fd	FBgn0013576	mtd
CG10194	FBgn0032790	CG10194
CG10214	FBgn0039115	CG10214
CG10217-RA	FBtr0084465	udt-RA
CG12928	FBgn0261016	clos
CG10222	FBgn0036356	CG10222
CG10225	FBgn0039110	RanBP3
CG10237	FBgn0032783	CG10237
CG10238	FBgn0039280	Mocs2B
CG1024	FBgn0027514	CG1024
CG4267	FBgn0264979	CG4267
CG10263	FBgn0032812	Hakai
CG10265-RB	unknown ID	-
CG10268	FBgn0032811	CG10268
CG10277	FBgn0037442	gzl
CG10286	FBgn0037439	CG10286
CG10289	FBgn0035688	fmt
CG10306	FBgn0034654	eIF3k
CG10320	FBgn0034645	ND-B12
CG10324	FBgn0038454	CG10324
CG10326	FBgn0038453	Arl6IP1
CG10333	FBgn0032690	CG10333
Lsp1beta	FBgn0002563	Lsp1beta
CG10341	FBgn0032701	CG10341
CG10343	FBgn0032703	CG10343
CG10347	FBgn0030342	CG10347
CG10354	FBgn0031868	Rat1
CG10373	FBgn0032704	Jwa
CG10375	FBgn0039116	CG10375
CG10376	FBgn0032702	CG10376
CG10383	FBgn0032699	CG10383
CG10395	FBgn0033019	CG10395
CG10399	FBgn0031877	Hmgcl
Fur1	FBgn0004509	Fur1
CG10413	FBgn0032689	CG10413
CG10417	FBgn0033021	CG10417
CG10419	FBgn0036850	Gem2
CG4476	FBgn0035969	CG4476
CG10420	FBgn0039296	Sil1
CG10424	FBgn0036848	Naxd
CG10425	FBgn0039304	CG10425
CG10428	FBgn0032724	CG10428
CG10433	FBgn0034638	CG10433
CG10435	FBgn0037539	CG10435
CG10438	FBgn0061362	CG33785
CG10438	FBgn0061361	CG33786
Atpalpha	FBgn0002921	Atpalpha
Atpalpha	FBal0009413	Atpalpha[01453a]
CG10447	FBgn0032816	Nf-YB
CG10463	FBgn0032819	CG10463
CG10465	FBgn0033017	CG10465
CG10466	FBgn0032822	CG10466
CG10467	FBgn0035679	CG10467
CG10487	FBgn0052412	QC
CG10487	FBgn0052413	CG32413
CG10492	FBgn0032748	CG10492
CG10527	FBgn0034583	CG10527
CG10535	FBgn0037926	Elp1
CG10555	FBgn0030034	CG10555
CG10565	FBgn0037051	CG10565
CG10575	FBgn0035632	Ppat-Dpck
CG10576	FBgn0035630	CG10576
CG9027	FBgn0033631	Sod3
CG10600	FBgn0032717	CG10600
CG10602	FBgn0032721	CG10602
CG10602	FBgn0032720	mRpL13
CG10616	FBgn0036286	CG10616
CG10627	FBgn0036298	nst
CG10628	FBgn0032818	CG10628
CG10632	FBgn0036302	sowah
CG10634	FBgn0051102	CG31102
CG10634	FBgn0051098	CG31098
CG10635	FBgn0035603	Pfdn4
CG10638	FBgn0036290	CG10638
CG10639	FBgn0032729	L2HGDH
Tsf2	FBgn0036299	Tsf2
CG10646	FBgn0036292	CG10646
CG10664	FBgn0032833	COX4
CG10671	FBgn0035586	Fitm
CG10672	FBgn0035588	CG10672
CG10673	FBgn0035590	Prpk
CG10680	FBgn0032836	CG10680
CG10681	FBgn0036291	CG10681
CG10688	FBgn0036300	Pmm2
CG10703	FBgn0037881	GCC88
CG10722	FBgn0032848	nesd
CG10731	FBgn0034081	CG10731
Cdc6	FBgn0035918	Cdc6
CG10741	FBgn0036373	Tgi
CG10743	FBgn0036376	Liprin-beta
CG10749	FBgn0036328	CG10749
CG10754	FBgn0036314	Sf3a2
CG10777	FBgn0029979	mahe
CG10778	FBgn0029980	CG10778
CG1078	FBgn0037255	Fip1
CG10802	FBgn0029664	CG10802
CG10809	FBgn0036052	CG10809
CG10874	FBgn0031395	CG10874
CG10877	FBgn0038804	CG10877
CG10880	FBgn0031398	daed
CG10882	FBgn0262126	Sec24CD
CG10898	FBgn0037911	CG10898
CG10907	FBgn0036207	CG10907
CG10908	FBgn0267972	Der-1
CG10914	FBgn0034307	CG10914
CG1091	FBgn0037470	Tailor
CG10932	FBgn0029969	CG10932
slif	FBgn0037203	slif
CG10971	FBgn0036309	Hip1
CG10973	FBgn0036306	CG10973
CG10977	FBgn0053523	CG33523
CG10981	FBgn0037384	dgrn
CG10984	FBgn0036305	CG10984
mRpL53	FBgn0050481	mRpL53
CG40160	FBgn0058160	CG40160
CG11005	FBgn0051549	CG31549
CG11005	FBgn0051551	CG31551
CG11006	FBgn0262714	Sap130
CG11007	FBgn0034455	CG11007
CG11009	FBgn0036318	Wbp2
CG11015	FBgn0031830	COX5B
CG11030	FBgn0031736	CG11030
CG11034	FBgn0031741	CG11034
CG1103	FBgn0037235	CG1103
Men	FBgn0002719	Men
CG11055	FBgn0034491	Hsl
CG1105	FBgn0037465	CG1105
CG11063	FBgn0030530	jub
CG11076	FBgn0039929	CG11076
CG11079	FBgn0085452	CG34423
CG11079	FBgn0085453	Mthfs
CG11089	FBgn0039241	CG11089
CG11092	FBgn0027537	Nup93-1
CG1109	FBgn0046222	Wdr33
CG11107	FBgn0033160	Dhx15
CG11109-RB	FBtr0078552	CG11109-RB
CG2791	FBgn0037533	CD98hc
CG11127	FBgn0033178	CG11127
CG11133	FBgn0037205	BoYb
CG11134	FBgn0030518	CG11134
CG11137	FBgn0037199	EMC4
CG11148	FBgn0039936	Gyf
CG10992	FBgn0030521	CtsB1
CG1115	FBgn0037299	Vps37B
CG33138	FBgn0053138	AGBE
CG1116	FBgn0037297	CG1116
CG11170	FBgn0034705	CG11170
CG11178	FBgn0030499	CG11178
CG11180	FBgn0034528	CG11180
CG11190	FBgn0030035	PIG-T
CG11198	FBgn0033246	ACC
CG4991	FBgn0030817	CG4991
CG11208	FBgn0034488	Hacl
CG1120	FBgn0035462	IntS10
cpsf	FBgn0024698	Cpsf160
CG11242	FBgn0034451	TBCB
CG1124	FBgn0037290	CG1124
CG11255	FBgn0036337	Adk2
CtBP	FBgn0020496	CtBP
CG11267	FBgn0036334	CG11267
CG11268	FBgn0036336	ste14
mfas	FBgn0260745	mfas
CG11299	FBgn0034897	Sesn
CG1129	FBgn0037279	CG1129
CG11306	FBgn0037108	Alg11
CG11309	FBgn0037070	CG11309
CG1648	FBgn0033446	CG1648
CG11315	FBgn0039801	Npc2h
CG11329	FBgn0031848	Nse1
CG11334	FBgn0039849	CG11334
CG11337	FBgn0039846	PNPase
CG11337	FBgn0039846	PNPase
CG11337	FBgn0039846	PNPase
CG1134	FBgn0035483	Mul1
CG1135	FBgn0263832	Rcd5
CG11376	FBgn0031216	Zir
CG11377	FBgn0031217	CG11377
CG5382	FBgn0038950	CG5382
CG11396	FBgn0037022	CG11396
CG11400	FBgn0034198	CG11400
CG1140	FBgn0035298	SCOT
CG11412	FBgn0024362	Naa30A
CG11414	FBgn0035024	CG11414
CG11419	FBgn0034231	APC10
CG11436	FBgn0029713	CG11436
CG11444	FBgn0029715	CG11444
CG11474	FBgn0034688	CG11474
CG11486	FBgn0035397	PAN3
CG11490	FBgn0031233	Tbc1d15-17
CG11505	FBgn0035424	Larp4B
CG11523	FBgn0037156	CG11523
CG6673	FBgn0035906	GstO2
CG11534	FBgn0046296	DEF8
CG11562	FBgn0031247	CG11562
CG11577	FBgn0036847	CNPYb
CG11586	FBgn0035520	CG11586
CG11593	FBgn0035488	CG11593
CG1161	FBgn0037313	CG1161
CG11637	FBgn0036822	NijB
CG11652	FBgn0036194	Dph1
CG11655	FBgn0030638	CG11655
CG11660	FBgn0036187	RIOK1
CG11665	FBgn0033028	hrm
CG11674	FBgn0030551	CG11674
CG11679	FBgn0030678	CG11679
CG11710	FBgn0031115	CG11710
CG11722	FBgn0037777	CG11722
CG11727	FBgn0262740	Evi5
CG1172	FBgn0264712	CG1172
CG12499	FBgn0038968	CG12499
CG11739	FBgn0037239	Sfxn1-3
CG11750	FBgn0287454	Pa1
CG11752	FBgn0030292	CG11752
Pole2	FBgn0035644	DNApol-epsilon58
CG11771	FBgn0039252	CG11771
CG11777	FBgn0033527	CG11777
CG11779	FBgn0038683	CG11779
CG11781	FBgn0039259	EMC6
CG11784	FBgn0033381	GstE13
CG11788	FBgn0034495	CG11788
