From	To	Species	Gene Name
Q8MYW9	FBgn0037612	Drosophila melanogaster	CG8112 gene product from transcript CG8112-RD(CG8112)
Q7JXV9	FBgn0022027	Drosophila melanogaster	Vacuolar protein sorting 25(Vps25)
Q9VLI9	FBgn0260861	Drosophila melanogaster	TRAPP subunit 23 ortholog (S. cerevisiae)(Trs23)
P41126	FBgn0011272	Drosophila melanogaster	Ribosomal protein L13(RpL13)
B7Z0X3	FBgn0266098	Drosophila melanogaster	rugose(rg)
Q9VLI1	FBgn0032067	Drosophila melanogaster	Lysosomal alpha-mannosidase IV(LManIV)
Q6NQW5	FBgn0027082	Drosophila melanogaster	Prolyl-tRNA synthetase(Aats-pro)
Q9VHD3	FBgn0037696	Drosophila melanogaster	Glutathione S transferase Z1(GstZ1)
A4V2K7	FBgn0000412	Drosophila melanogaster	D1 chromosomal protein(D1)
Q9U5L1	FBgn0010391	Drosophila melanogaster	GTP-binding protein(Gtp-bp)
Q9VUK7	FBgn0036476	Drosophila melanogaster	stepping stone(sstn)
Q8MZ50	FBgn0021875	Drosophila melanogaster	Zinc finger protein RP-8(Zfrp8)
B7Z0Y8	FBgn0010412	Drosophila melanogaster	Ribosomal protein S19a(RpS19a)
Q9VHC5	FBgn0037703	Drosophila melanogaster	JmjC domain-containing histone demethylase 2(JHDM2)
Q9VHC8	FBgn0037700	Drosophila melanogaster	CG8149 gene product from transcript CG8149-RA(CG8149)
O96679	FBgn0025781	Drosophila melanogaster	Cell division cycle 16 ortholog(Cdc16)
Q9VUL8	FBgn0036484	Drosophila melanogaster	Peroxin 3(Pex3)
Q7PL91	FBgn0058002	Drosophila melanogaster	NADH dehydrogenase (ubiquinone) AGGG subunit(ND-AGGG)
A4V2J1	FBgn0014863	Drosophila melanogaster	Muscle LIM protein at 84B(Mlp84B)
O96676	FBgn0026144	Drosophila melanogaster	sarcoplasmic calcium-binding protein(CBP)
B7Z0Z9	FBgn0030817	Drosophila melanogaster	CG4991 gene product from transcript CG4991-RF(CG4991)
Q95R41	FBgn0038535	Drosophila melanogaster	aluminum tubes(alt)
Q95R46	FBgn0264326	Drosophila melanogaster	DNA polymerase epsilon 255kD subunit(DNApol-epsilon255)
Q95R45	FBgn0035471	Drosophila melanogaster	CG10849 gene product from transcript CG10849-RA(Sc2)
Q95R48	FBgn0086365	Drosophila melanogaster	Organic cation transporter 2(Orct2)
Q95R47	FBgn0052707	Drosophila melanogaster	Anaphase Promoting Complex subunit 4(APC4)
B7Z0Z0	FBgn0278608	Drosophila melanogaster	Dorsal switch protein 1(Dsp1)
O44226	FBgn0023212	Drosophila melanogaster	Elongin B(EloB)
O96689	FBgn0260987	Drosophila melanogaster	verthandi(vtd)
Q7KJ37	FBgn0040237	Drosophila melanogaster	belphegor(bor)
Q9VHB6	FBgn0037710	Drosophila melanogaster	CG9393 gene product from transcript CG9393-RA(CG9393)
O96681	FBgn0025741	Drosophila melanogaster	Plexin A(PlexA)
Q9VHB5	FBgn0261049	Drosophila melanogaster	Vacuolar protein sorting 45(Vps45)
Q9VHB1	FBgn0037715	Drosophila melanogaster	CG9399 gene product from transcript CG9399-RE(CG9399)
A4UZI6	FBgn0014020	Drosophila melanogaster	CG8416 gene product from transcript CG8416-RB(Rho1)
Q8MYR7	FBgn0267350	Drosophila melanogaster	Phosphatidylinositol 4-kinase III alpha(PI4KIIIalpha)
Q9VLN1	FBgn0032030	Drosophila melanogaster	WD repeat domain 82(Wdr82)
Q9VHB8	FBgn0037709	Drosophila melanogaster	CG8199 gene product from transcript CG8199-RA(CG8199)
Q6TY68	FBgn0261850	Drosophila melanogaster	Xeroderma pigmentosum D ortholog (H. sapiens)(Xpd)
Q9VUM4	FBgn0036490	Drosophila melanogaster	CG6888 gene product from transcript CG6888-RA(CG6888)
Q9VUM3	FBgn0036489	Drosophila melanogaster	CG7011 gene product from transcript CG7011-RA(CG7011)
Q9VUM2	FBgn0036488	Drosophila melanogaster	CG6878 gene product from transcript CG6878-RA(CG6878)
Q9VUM1	FBgn0036487	Drosophila melanogaster	CG6876 gene product from transcript CG6876-RA(Prp31)
Q9VUM0	FBgn0036486	Drosophila melanogaster	CG7003 gene product from transcript CG7003-RA(Msh6)
Q9VLN8	FBgn0032025	Drosophila melanogaster	CG7778 gene product from transcript CG7778-RB(CG7778)
Q9VUN7	FBgn0036500	Drosophila melanogaster	CG7275 gene product from transcript CG7275-RA(CG7275)
Q7KIS4	FBgn0034371	Drosophila melanogaster	CG5473 gene product from transcript CG5473-RC(SP2637)
O96692	FBgn0025806	Drosophila melanogaster	Ras-associated protein 2-like(Rap2l)
O96695	FBgn0003268	Drosophila melanogaster	rough deal(rod)
P47948	FBgn0010423	Drosophila melanogaster	Troponin C at 47D(TpnC47D)
Q9VLM6	FBgn0032034	Drosophila melanogaster	Reduction in Cnn dots 4(Rcd4)
Q9VLM5	FBgn0263852	Drosophila melanogaster	lethal (2) k12914(l(2)k12914)
P47949	FBgn0010424	Drosophila melanogaster	Troponin C at 73F(TpnC73F)
Q9VHA8	FBgn0037718	Drosophila melanogaster	CG8286 gene product from transcript CG8286-RA(P58IPK)
Q8MZ49	FBgn0011481	Drosophila melanogaster	Sequence-specific single-stranded DNA-binding protein(Ssdp)
P31009	FBgn0004867	Drosophila melanogaster	Ribosomal protein S2(RpS2)
Q8MZ42	FBgn0032340	Drosophila melanogaster	Ge-1 ortholog (H. sapiens)(Ge-1)
Q9VLM7	FBgn0032033	Drosophila melanogaster	CG13392 gene product from transcript CG13392-RB(CG13392)
Q8MYS0	FBgn0001565	Drosophila melanogaster	Helicase(Hlc)
A4V303	FBgn0015019	Drosophila melanogaster	CG8977 gene product from transcript CG8977-RB(Cctgamma)
A4V302	FBgn0004087	Drosophila melanogaster	Dihydrofolate reductase(Dhfr)
Q6NQZ5	FBgn0013732	Drosophila melanogaster	scrambled(sced)
P42286	FBgn0003701	Drosophila melanogaster	three rows(thr)
Q9VLL5	FBgn0014417	Drosophila melanogaster	CG13397 gene product from transcript CG13397-RB(CG13397)
P47938	FBgn0011761	Drosophila melanogaster	deadhead(dhd)
Q95R95	FBgn0010497	Drosophila melanogaster	Dietary and metabolic glutamate transporter(dmGlut)
Q7JY89	FBgn0028955	Drosophila melanogaster	CG8788 gene product from transcript CG8788-RA(CG8788)
Q95R98	FBgn0035951	Drosophila melanogaster	CG5068 gene product from transcript CG5068-RB(CG5068)
Q8MZ14	FBgn0036629	Drosophila melanogaster	CG4573 gene product from transcript CG4573-RA(CG4573)
Q8MZ28	FBgn0051360	Drosophila melanogaster	CG31360 gene product from transcript CG31360-RA(CG31360)
Q9VLK0	FBgn0032052	Drosophila melanogaster	Phosphatidylinositol glycan anchor biosynthesis, class U ortholog (H. sapiens)(PIG-U)
A4UZL5	FBgn0010226	Drosophila melanogaster	Glutathione S transferase S1(GstS1)
Q9VLK1	FBgn0032051	Drosophila melanogaster	CG13097 gene product from transcript CG13097-RA(CG13097)
Q6NQY9	FBgn0034496	Drosophila melanogaster	CG9143 gene product from transcript CG9143-RA(CG9143)
Q6QU65	FBgn0265140	Drosophila melanogaster	CG7649 gene product from transcript CG7649-RC(Meltrin)
Q8MZ22	FBgn0052243	Drosophila melanogaster	CG32243 gene product from transcript CG32243-RA(CG32243)
Q9V6B9	FBgn0033737	Drosophila melanogaster	Nucleoporin 54kD(Nup54)
Q9VUQ7	FBgn0036509	Drosophila melanogaster	CG7739 gene product from transcript CG7739-RA(CG7739)
P48555	FBgn0015286	Drosophila melanogaster	Ras-like protein A(Rala)
Q9VUQ8	FBgn0036510	Drosophila melanogaster	CG7427 gene product from transcript CG7427-RA(CG7427)
P48554	FBgn0014011	Drosophila melanogaster	CG8556 gene product from transcript CG8556-RB(Rac2)
Q9VLR8	FBgn0031998	Drosophila melanogaster	Sodium/solute co-transporter-like 5A11(SLC5A11)
Q9VLR5	FBgn0015299	Drosophila melanogaster	Single stranded-binding protein c31A(Ssb-c31a)
Q9VM35	FBgn0031896	Drosophila melanogaster	CG4502 gene product from transcript CG4502-RA(CG4502)
Q27597	FBgn0015623	Drosophila melanogaster	Cytochrome P450 reductase(Cpr)
Q9VLS4	FBgn0031992	Drosophila melanogaster	CG8498 gene product from transcript CG8498-RB(CG8498)
P42271	FBgn0010097	Drosophila melanogaster	gamma-Tubulin at 37C(gammaTub37C)
P17719	FBgn0004087	Drosophila melanogaster	Dihydrofolate reductase(Dhfr)
Q7KAK2	FBgn0025373	Drosophila melanogaster	Farnesyl pyrophosphate synthase(Fpps)
Q9VHN8	FBgn0037606	Drosophila melanogaster	CG8032 gene product from transcript CG8032-RB(CG8032)
Q9VHN5	FBgn0037609	Drosophila melanogaster	CG9773 gene product from transcript CG9773-RA(CG9773)
Q9VHN4	FBgn0037610	Drosophila melanogaster	CG8043 gene product from transcript CG8043-RA(CG8043)
Q9VHN6	FBgn0037608	Drosophila melanogaster	mitochondrial ribosomal protein L19(mRpL19)
Q9VV39	FBgn0260460	Drosophila melanogaster	mitochondrial ribosomal protein S34(mRpS34)
Q9VHN0	FBgn0037614	Drosophila melanogaster	CG8116 gene product from transcript CG8116-RB(CG8116)
Q9VHN1	FBgn0037613	Drosophila melanogaster	Cyclin-dependent kinase subunit 85A(Cks85A)
Q27580	FBgn0014455	Drosophila melanogaster	Adenosylhomocysteinase at 13(Ahcy13)
Q9VUR3	FBgn0036515	Drosophila melanogaster	CG12304 gene product from transcript CG12304-RA(CG12304)
A4UZF9	FBgn0004638	Drosophila melanogaster	downstream of receptor kinase(drk)
Q9VLQ9	FBgn0032005	Drosophila melanogaster	Sorting nexin 6(Snx6)
Q8MZ09	FBgn0015949	Drosophila melanogaster	hiiragi(hrg)
Q9VUR2	FBgn0036514	Drosophila melanogaster	CG12301 gene product from transcript CG12301-RA(CG12301)
P18053	FBgn0261394	Drosophila melanogaster	Proteasome alpha3 subunit(Prosalpha3)
Q9VUR0	FBgn0036512	Drosophila melanogaster	CG16979 gene product from transcript CG16979-RA(CG16979)
Q9VM33	FBgn0263133	Drosophila melanogaster	iconoclast(ico)
P17704	FBgn0005533	Drosophila melanogaster	Ribosomal protein S17(RpS17)
Q709R6	FBgn0037719	Drosophila melanogaster	bocksbeutel(bocks)
Q6NR07	FBgn0035371	Drosophila melanogaster	CG9977 gene product from transcript CG9977-RA(CG9977)
Q9VHM3	FBgn0037621	Drosophila melanogaster	Motif 1 Binding Protein(M1BP)
P28750	FBgn0000615	Drosophila melanogaster	exuperantia(exu)
Q7KR04	FBgn0033555	Drosophila melanogaster	Ribosomal protein S15Ab(RpS15Ab)
P14199	FBgn0003231	Drosophila melanogaster	refractory to sigma P(ref(2)P)
Q9VV47	FBgn0036620	Drosophila melanogaster	CG4842 gene product from transcript CG4842-RA(CG4842)
Q9VV49	FBgn0036622	Drosophila melanogaster	CG4753 gene product from transcript CG4753-RB(CG4753)
Q9VHM2	FBgn0037622	Drosophila melanogaster	CG8202 gene product from transcript CG8202-RA(CG8202)
Q9VLP3	FBgn0032020	Drosophila melanogaster	CG7787 gene product from transcript CG7787-RA(CG7787)
Q9VLP5	FBgn0032018	Drosophila melanogaster	CG7806 gene product from transcript CG7806-RA(CG7806)
Q9VV40	FBgn0036614	Drosophila melanogaster	CG4925 gene product from transcript CG4925-RA(CG4925)
Q9VLP7	FBgn0032016	Drosophila melanogaster	CG7818 gene product from transcript CG7818-RA(CG7818)
Q9VM17	FBgn0031909	Drosophila melanogaster	CG5181 gene product from transcript CG5181-RA(CG5181)
Q9VV41	FBgn0036615	Drosophila melanogaster	CG4933 gene product from transcript CG4933-RA(CG4933)
A4V2B8	FBgn0264492	Drosophila melanogaster	casein kinase IIalpha(CkIIalpha)
Q9VM22	FBgn0031904	Drosophila melanogaster	CG5149 gene product from transcript CG5149-RA(CG5149)
Q9VLQ1	FBgn0261020	Drosophila melanogaster	wollknaeuel(wol)
Q9VHL2	FBgn0037632	Drosophila melanogaster	CG8351 gene product from transcript CG8351-RA(Tcp-1eta)
Q04688	FBgn0004510	Drosophila melanogaster	Ets at 97D(Ets97D)
Q9VA00	FBgn0061476	Drosophila melanogaster	CG18729 gene product from transcript CG18729-RA(Zwilch)
A4UZH7	FBgn0013750	Drosophila melanogaster	ADP ribosylation factor at 51F(Arf51F)
Q9VM11	FBgn0031914	Drosophila melanogaster	CG5973 gene product from transcript CG5973-RE(CG5973)
A4V2B1	FBgn0010348	Drosophila melanogaster	ADP ribosylation factor at 79F(Arf79F)
Q9VHK7	FBgn0040532	Drosophila melanogaster	CG8369 gene product from transcript CG8369-RC(CG8369)
Q9VHK6	FBgn0037637	Drosophila melanogaster	IscU homolog(IscU)
P04657	FBgn0086907	Drosophila melanogaster	Cytochrome c distal(Cyt-c-d)
Q9VV60	FBgn0027080	Drosophila melanogaster	Tyrosyl-tRNA synthetase(Aats-tyr)
Q7KQM6	FBgn0039936	Drosophila melanogaster	CG11148 gene product from transcript CG11148-RH(CG11148)
P22468	FBgn0001099	Drosophila melanogaster	gonadal(gdl)
Q7KQM8	FBgn0039929	Drosophila melanogaster	CG11076 gene product from transcript CG11076-RE(CG11076)
P22465	FBgn0000084	Drosophila melanogaster	Annexin B10(AnxB10)
Q9VUU7	FBgn0036537	Drosophila melanogaster	CG18081 gene product from transcript CG18081-RB(CG18081)
Q9VHJ4	FBgn0037647	Drosophila melanogaster	Ras-related GTP binding A/B ortholog (H. sapiens)(RagA-B)
Q9VHJ7	FBgn0037644	Drosophila melanogaster	CG11964 gene product from transcript CG11964-RA(CG11964)
Q9VHJ2	FBgn0037648	Drosophila melanogaster	CG11975 gene product from transcript CG11975-RB(CG11975)
Q9VV76	FBgn0036643	Drosophila melanogaster	Syntaxin 8(Syx8)
Q9VV75	FBgn0250814	Drosophila melanogaster	Ubiquinol-cytochrome c reductase core protein 2(UQCR-C2)
A4UZB1	FBgn0262169	Drosophila melanogaster	CG2264 gene product from transcript CG2264-RA(magu)
Q9VV74	FBgn0036641	Drosophila melanogaster	survival motor neuron(Smn)
Q9VV73	FBgn0036640	Drosophila melanogaster	nuclear RNA export factor 2(nxf2)
Q6NR46	FBgn0086532	Drosophila melanogaster	Serine palmitoyltransferase subunit I(Spt-I)
Q9VV79	FBgn0027500	Drosophila melanogaster	spindle defective 2(spd-2)
Q9VUV9	FBgn0263599	Drosophila melanogaster	lethal (3) 72Ab(l(3)72Ab)
Q9VUV8	FBgn0036547	Drosophila melanogaster	CG17032 gene product from transcript CG17032-RA(CG17032)
P40688	FBgn0003655	Drosophila melanogaster	swallow(swa)
Q9VUV7	FBgn0036546	Drosophila melanogaster	early girl(elgi)
Q9VHI3	FBgn0037656	Drosophila melanogaster	CG11986 gene product from transcript CG11986-RA(CG11986)
Q9VHI4	FBgn0040534	Drosophila melanogaster	CG11985 gene product from transcript CG11985-RA(CG11985)
Q9VHI1	FBgn0037657	Drosophila melanogaster	hyrax(hyx)
Q95RC5	FBgn0038855	Drosophila melanogaster	CG5745 gene product from transcript CG5745-RA(CG5745)
Q9VLV5	FBgn0261790	Drosophila melanogaster	Small ribonucleoprotein particle protein SmE(SmE)
Q9VM75	FBgn0086451	Drosophila melanogaster	lethal (2) k09022(l(2)k09022)
Q9VM72	FBgn0042092	Drosophila melanogaster	CG13773 gene product from transcript CG13773-RA(CG13773)
Q9VHI7	FBgn0037653	Drosophila melanogaster	CG11982 gene product from transcript CG11982-RA(CG11982)
Q9VM71	FBgn0031868	Drosophila melanogaster	CG10354 gene product from transcript CG10354-RA(Rat1)
Q9VLT7	FBgn0031980	Drosophila melanogaster	Ribosomal protein L36A(RpL36A)
Q9VLT8	FBgn0031979	Drosophila melanogaster	CG7429 gene product from transcript CG7429-RA(CCDC53)
Q9VM58	FBgn0031877	Drosophila melanogaster	CG10399 gene product from transcript CG10399-RB(CG10399)
P62152	FBgn0000253	Drosophila melanogaster	Calmodulin(Cam)
A8DWJ8	FBgn0085428	Drosophila melanogaster	NADPH oxidase(Nox)
Q6NR30	FBgn0028953	Drosophila melanogaster	CG14478 gene product from transcript CG14478-RD(CG14478)
O01666	FBgn0020235	Drosophila melanogaster	ATP synthase, gamma subunit(ATPsyngamma)
P42207	FBgn0011710	Drosophila melanogaster	Septin 1(Sep1)
Q494M1	FBgn0004924	Drosophila melanogaster	Topoisomerase 1(Top1)
Q9VHH7	FBgn0037661	Drosophila melanogaster	Adenosine deaminase(Ada)
Q9VLU0	FBgn0031977	Drosophila melanogaster	barrier to autointegration factor(baf)
Q9VM60	FBgn0031875	Drosophila melanogaster	CG3430 gene product from transcript CG3430-RA(CG3430)
Q9VHH8	FBgn0037660	Drosophila melanogaster	CG18005 gene product from transcript CG18005-RA(beag)
Q9VHH9	FBgn0037659	Drosophila melanogaster	Lysine (K)-specific demethylase 2(Kdm2)
Q9VLU3	FBgn0031974	Drosophila melanogaster	CG12560 gene product from transcript CG12560-RC(CG12560)
Q9VM63	FBgn0031873	Drosophila melanogaster	CG9207 gene product from transcript CG9207-RA(Gas41)
Q9VLU4	FBgn0031973	Drosophila melanogaster	Serpin 28Dc(Spn28Dc)
Q95RB1	FBgn0037220	Drosophila melanogaster	CG14641 gene product from transcript CG14641-RA(CG14641)
Q9VLU5	FBgn0031972	Drosophila melanogaster	WW domain containing oxidoreductase(Wwox)
Q9VM65	FBgn0031871	Drosophila melanogaster	Fibroblast growth factor receptor 1 oncogene partner 2(Fgop2)
Q9VLU6	FBgn0031971	Drosophila melanogaster	Starvation-upregulated protein(Sirup)
O46173	FBgn0022959	Drosophila melanogaster	ypsilon schachtel(yps)
Q9VLS8	FBgn0031988	Drosophila melanogaster	CG8668 gene product from transcript CG8668-RB(CG8668)
Q9VUX2	FBgn0263601	Drosophila melanogaster	mind bomb 1(mib1)
Q9VLS5	FBgn0261064	Drosophila melanogaster	Rabenosyn-5(Rbsn-5)
Q9VLS9	FBgn0031987	Drosophila melanogaster	CG12375 gene product from transcript CG12375-RA(CG12375)
P48588	FBgn0086472	Drosophila melanogaster	Ribosomal protein S25(RpS25)
P13008	FBgn0261597	Drosophila melanogaster	Ribosomal protein S26(RpS26)
P48591	FBgn0011703	Drosophila melanogaster	Ribonucleoside diphosphate reductase large subunit(RnrL)
Q9VHG4	FBgn0037671	Drosophila melanogaster	Vacuolar H[+] ATPase M8.9 accessory subunit(VhaM8.9)
Q95RA9	FBgn0038149	Drosophila melanogaster	Gamma-interferon-inducible lysosomal thiol reductase 1(GILT1)
Q9VHG1	FBgn0261241	Drosophila melanogaster	Vacuolar protein sorting 16A(Vps16A)
P48592	FBgn0011704	Drosophila melanogaster	Ribonucleoside diphosphate reductase small subunit(RnrS)
Q95RA8	FBgn0038965	Drosophila melanogaster	mob as tumor suppressor(mats)
Q9VHG8	FBgn0037667	Drosophila melanogaster	CG16734 gene product from transcript CG16734-RD(CG16734)
Q9VM51	FBgn0031881	Drosophila melanogaster	CG3476 gene product from transcript CG3476-RA(CG3476)
Q9VHG5	FBgn0037670	Drosophila melanogaster	Insulator binding factor 1(Ibf1)
Q9VUY0	FBgn0036565	Drosophila melanogaster	CG5235 gene product from transcript CG5235-RA(CG5235)
Q9VLT3	FBgn0267488	Drosophila melanogaster	Macroglobulin complement-related(Mcr)
Q7JXE1	FBgn0034050	Drosophila melanogaster	CG8297 gene product from transcript CG8297-RA(CG8297)
Q95RG6	FBgn0061492	Drosophila melanogaster	logjam(loj)
Q9V6L0	FBgn0053182	Drosophila melanogaster	Lysine (K)-specific demethylase 4B(Kdm4B)
Q95RG7	FBgn0032915	Drosophila melanogaster	CG12050 gene product from transcript CG12050-RB(CG12050)
Q0KIE7	FBgn0011747	Drosophila melanogaster	Ankyrin(Ank)
O76742	FBgn0015795	Drosophila melanogaster	CG5915 gene product from transcript CG5915-RA(Rab7)
Q0KIE6	FBgn0037215	Drosophila melanogaster	beta-Mannosidase(beta-Man)
Q86BY9	FBgn0250850	Drosophila melanogaster	rigor mortis(rig)
Q9VI74	FBgn0037482	Drosophila melanogaster	CG10055 gene product from transcript CG10055-RA(CG10055)
Q9VHV5	FBgn0037551	Drosophila melanogaster	GTPase indispensable for equal segregation of chromosomes(Gie)
Q9VI75	FBgn0086372	Drosophila melanogaster	like-AP180(lap)
Q9VHV6	FBgn0037550	Drosophila melanogaster	CG9667 gene product from transcript CG9667-RA(CG9667)
Q03042	FBgn0000442	Drosophila melanogaster	Protein kinase, cGMP-dependent at 21D(Pkg21D)
Q9VI70	FBgn0037478	Drosophila melanogaster	CG2656 gene product from transcript CG2656-RA(CG2656)
Q9VTX8	FBgn0036286	Drosophila melanogaster	CG10616 gene product from transcript CG10616-RC(CG10616)
Q8SZI1	FBgn0267378	Drosophila melanogaster	sauron(sau)
B7Z0G7	FBgn0260397	Drosophila melanogaster	Suppressor of variegation 3-3(Su(var)3-3)
B7Z0G5	FBgn0261381	Drosophila melanogaster	Mitochondrial Transcription Factor B1(mtTFB1)
B7Z0G4	FBgn0036191	Drosophila melanogaster	Sugar baby(Sugb)
O76752	FBgn0014032	Drosophila melanogaster	Sepiapterin reductase(Sptr)
Q95RH7	FBgn0031090	Drosophila melanogaster	CG9575 gene product from transcript CG9575-RD(Rab35)
Q494G8	FBgn0033609	Drosophila melanogaster	F-box and leucine-rich repeat protein 6(Fbl6)
B7Z0G3	FBgn0036173	Drosophila melanogaster	CG7394 gene product from transcript CG7394-RD(CG7394)
B7Z0G2	FBgn0000629	Drosophila melanogaster	Enhancer of zeste(E(z))
B7Z0G1	FBgn0001179	Drosophila melanogaster	haywire(hay)
P36179	FBgn0260439	Drosophila melanogaster	Protein phosphatase 2A at 29B(Pp2A-29B)
Q9VI85	FBgn0037492	Drosophila melanogaster	CG10050 gene product from transcript CG10050-RA(CG10050)
Q9VHW6	FBgn0037543	Drosophila melanogaster	CG10903 gene product from transcript CG10903-RB(CG10903)
Q7KIF8	FBgn0026252	Drosophila melanogaster	moleskin(msk)
Q9N6I4	FBgn0040283	Drosophila melanogaster	Structural maintenance of chromosomes 1(SMC1)
Q9VU84	FBgn0036372	Drosophila melanogaster	Actin binding protein 1(Abp1)
Q7PLL3	FBgn0020660	Drosophila melanogaster	Eukaryotic initiation factor 4B(eIF-4B)
Q9W5W7	FBgn0031093	Drosophila melanogaster	CG9581 gene product from transcript CG9581-RA(CG9581)
Q9W5W8	FBgn0031092	Drosophila melanogaster	CG9577 gene product from transcript CG9577-RA(CG9577)
Q9VTW8	FBgn0036279	Drosophila melanogaster	sodium chloride cotransporter 69(Ncc69)
Q9VI84	FBgn0037491	Drosophila melanogaster	CG1227 gene product from transcript CG1227-RA(CG1227)
Q7PLL6	FBgn0039959	Drosophila melanogaster	CG17514 gene product from transcript CG17514-RA(CG17514)
A2VEG3	FBgn0032938	Drosophila melanogaster	CG8671 gene product from transcript CG8671-RG(CG8671)
Q9W5W6	FBgn0031094	Drosophila melanogaster	CG9578 gene product from transcript CG9578-RA(CG9578)
Q9VI82	FBgn0037489	Drosophila melanogaster	CG1234 gene product from transcript CG1234-RA(CG1234)
Q0KIC3	FBgn0263346	Drosophila melanogaster	CG43427 gene product from transcript CG43427-RP(CG43427)
Q7JXC4	FBgn0034259	Drosophila melanogaster	CG6459 gene product from transcript CG6459-RA(P32)
Q7JXC6	FBgn0033350	Drosophila melanogaster	CG8237 gene product from transcript CG8237-RA(CG8237)
Q9VM93	FBgn0046704	Drosophila melanogaster	CG11199 gene product from transcript CG11199-RC(Liprin-alpha)
Q9VLX2	FBgn0031947	Drosophila melanogaster	CG7154 gene product from transcript CG7154-RA(CG7154)
Q9VM95	FBgn0031851	Drosophila melanogaster	apoptosis antagonizing transcription factor ortholog(Aatf)
B7Z0J4	FBgn0259721	Drosophila melanogaster	CG42375 gene product from transcript CG42375-RA(CG42375)
Q9VI56	FBgn0037468	Drosophila melanogaster	CG1943 gene product from transcript CG1943-RD(CG1943)
Q9VI53	FBgn0037465	Drosophila melanogaster	CG1105 gene product from transcript CG1105-RA(CG1105)
Q9VHT5	FBgn0037566	Drosophila melanogaster	mitochondrial ribosomal protein L1(mRpL1)
Q7PLI6	FBgn0261387	Drosophila melanogaster	CG17528 gene product from transcript CG17528-RD(CG17528)
Q9VTZ4	FBgn0036298	Drosophila melanogaster	nesthocker(nst)
Q7PLI0	FBgn0260799	Drosophila melanogaster	Adherens junction protein p120(p120ctn)
Q9VTZ5	FBgn0036299	Drosophila melanogaster	Transferrin 2(Tsf2)
Q9VTZ6	FBgn0036300	Drosophila melanogaster	CG10688 gene product from transcript CG10688-RA(CG10688)
Q7PLI2	FBgn0026401	Drosophila melanogaster	CG17704 gene product from transcript CG17704-RG(Nipped-B)
Q9VTZ7	FBgn0036301	Drosophila melanogaster	CG4069 gene product from transcript CG4069-RA(CG4069)
Q0KIB3	FBgn0037376	Drosophila melanogaster	CG2051 gene product from transcript CG2051-RB(CG2051)
Q9VTZ0	FBgn0041775	Drosophila melanogaster	trailer hitch(tral)
Q95RF6	FBgn0036928	Drosophila melanogaster	Translocase of outer membrane 20(Tom20)
B7Z0I8	FBgn0250754	Drosophila melanogaster	CG42232 gene product from transcript CG42232-RB(CG42232)
Q2Q0K7	FBgn0031951	Drosophila melanogaster	CG7138 gene product from transcript CG7138-RA(r2d2)
B7Z0I3	FBgn0035335	Drosophila melanogaster	mitochondrial ribosomal protein L23(mRpL23)
Q7KRI2	FBgn0022238	Drosophila melanogaster	lola like(lolal)
A4V1Y6	FBgn0013263	Drosophila melanogaster	Trithorax-like(Trl)
Q9VI64	FBgn0037472	Drosophila melanogaster	CG10098 gene product from transcript CG10098-RA(CG10098)
Q9VHU1	FBgn0037561	Drosophila melanogaster	CG9630 gene product from transcript CG9630-RA(CG9630)
