"Checked"	"Protein FDR Confidence Combined"	"Master"	"Protein Group IDs"	"Accession"	"Description"	"Exp q-value Combined"	"Sum PEP Score"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Mascot A5 Mascot"	"Number of Peptides by Search Engine A5 Mascot"	"Number of Razor Peptides"	"Abundance F1 127N Sample 1 unmated"	"Abundance F1 128N Sample 2 unmated"	"Abundance F1 129N Sample 1 mated"	"Abundance F1 129C Sample 3 unmated"	"Abundance F1 130N Sample 2 mated"	"Abundance F1 130C Sample 3 mated"	"Found in Sample in S1 F1 127N Sample 1 unmated"	"Found in Sample in S2 F1 128N Sample 2 unmated"	"Found in Sample in S3 F1 129N Sample 1 mated"	"Found in Sample in S4 F1 129C Sample 3 unmated"	"Found in Sample in S5 F1 130N Sample 2 mated"	"Found in Sample in S6 F1 130C Sample 3 mated"	"Number of Protein Groups"
"False"	"High"	"IsMasterProtein"	"2931"	"FBgn0026083"	"FBgn0026083"	"0.000"	"322.089"	"37"	"59"	"152"	"59"	"1911"	"199.5"	"6.68"	"4489"	"59"	"0"	"15276.7"	"13963.7"	"17785.4"	"12574.7"	"15845.6"	"13234.5"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"2229"	"FBgn0020370"	"FBgn0020370"	"0.000"	"319.447"	"56"	"69"	"160"	"69"	"1441"	"158.6"	"7.59"	"3167"	"69"	"0"	"23685.5"	"23031.5"	"30349.5"	"18976.4"	"24176.0"	"20317.4"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"4004"	"FBgn0023143"	"FBgn0023143"	"0.000"	"305.985"	"58"	"49"	"152"	"49"	"1191"	"130.7"	"5.29"	"4825"	"49"	"0"	"16896.6"	"16613.0"	"22409.4"	"14204.2"	"18831.6"	"15838.1"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"1790"	"FBgn0010488"	"FBgn0010488"	"0.000"	"303.199"	"45"	"57"	"134"	"57"	"1488"	"162.8"	"8.53"	"4238"	"57"	"0"	"10754.5"	"9174.3"	"11369.5"	"8753.3"	"10410.9"	"8756.5"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"1785"	"FBgn0043884"	"FBgn0043884"	"0.000"	"299.220"	"32"	"84"	"109"	"84"	"4010"	"424.0"	"5.67"	"2917"	"84"	"0"	"10570.9"	"9880.2"	"12159.8"	"8853.3"	"10523.1"	"8541.7"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"2715"	"FBgn0250789"	"FBgn0250789"	"0.000"	"299.156"	"43"	"90"	"102"	"90"	"2457"	"282.4"	"5.20"	"2576"	"90"	"0"	"12233.6"	"11441.9"	"15784.1"	"11331.6"	"14550.5"	"12355.3"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"3149"	"FBgn0013756"	"FBgn0013756"	"0.000"	"296.854"	"40"	"91"	"106"	"91"	"2346"	"262.2"	"5.10"	"2596"	"91"	"0"	"13416.7"	"12550.5"	"16427.3"	"10979.6"	"14309.6"	"12181.1"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"4507"	"FBgn0026418"	"FBgn0026418"	"0.000"	"293.217"	"62"	"45"	"159"	"45"	"836"	"91.8"	"5.36"	"3453"	"45"	"0"	"19997.0"	"19151.8"	"23560.6"	"16373.4"	"20506.6"	"16784.9"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"141"	"FBgn0027948"	"FBgn0027948"	"0.000"	"291.303"	"41"	"81"	"129"	"81"	"2082"	"230.3"	"8.21"	"2605"	"81"	"0"	"24376.0"	"22693.0"	"28733.1"	"19514.1"	"24352.5"	"20145.7"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"5409"	"FBgn0037810"	"FBgn0037810"	"0.000"	"286.295"	"50"	"65"	"112"	"65"	"1430"	"159.7"	"5.22"	"2487"	"65"	"0"	"16150.9"	"12448.4"	"17069.5"	"11441.7"	"15429.8"	"12609.8"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"3338"	"FBgn0260442"	"FBgn0260442"	"0.000"	"285.405"	"40"	"87"	"101"	"87"	"2836"	"306.8"	"6.21"	"2694"	"87"	"0"	"12124.3"	"11136.0"	"14165.5"	"9424.4"	"11980.9"	"10328.6"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"2114"	"FBgn0001092"	"FBgn0001092"	"0.000"	"273.456"	"78"	"22"	"282"	"7"	"332"	"35.3"	"8.44"	"5006"	"22"	"36"	"34689.9"	"34170.4"	"40762.6"	"28292.1"	"33487.7"	"28483.7"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"4010"	"FBgn0005674"	"FBgn0005674"	"0.000"	"271.629"	"46"	"72"	"130"	"72"	"1714"	"189.3"	"8.63"	"2539"	"72"	"0"	"20686.6"	"19332.6"	"26273.9"	"17321.4"	"20563.3"	"18487.5"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"2978"	"FBgn0004507"	"FBgn0004507"	"0.000"	"269.423"	"60"	"46"	"146"	"46"	"844"	"96.9"	"6.52"	"2762"	"46"	"0"	"21048.0"	"20526.5"	"27447.0"	"21405.5"	"24158.3"	"21198.1"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"4116"	"FBgn0014002"	"FBgn0014002"	"0.000"	"266.259"	"73"	"37"	"159"	"37"	"496"	"55.7"	"4.82"	"3039"	"37"	"0"	"21943.8"	"21772.1"	"29727.8"	"17294.4"	"26126.2"	"21686.5"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"1843"	"FBgn0030674"	"FBgn0030674"	"0.000"	"265.568"	"22"	"83"	"102"	"83"	"5151"	"557.3"	"5.45"	"2530"	"83"	"0"	"13239.0"	"12617.5"	"14169.9"	"11943.4"	"12062.8"	"10033.6"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"2584"	"FBgn0035121"	"FBgn0035121"	"0.000"	"263.059"	"64"	"56"	"160"	"56"	"926"	"103.0"	"8.05"	"3593"	"56"	"0"	"23849.1"	"22917.1"	"29944.0"	"19299.1"	"24693.6"	"20647.1"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"2446"	"FBgn0010217"	"FBgn0010217"	"0.000"	"262.841"	"68"	"26"	"211"	"26"	"511"	"54.6"	"5.27"	"4543"	"26"	"0"	"19224.5"	"19026.0"	"25584.9"	"16134.1"	"21760.7"	"17731.8"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"4989"	"FBgn0001308"	"FBgn0001308"	"0.000"	"255.670"	"57"	"56"	"110"	"56"	"975"	"110.3"	"5.77"	"2505"	"56"	"0"	"15496.7"	"14895.5"	"18276.5"	"12256.2"	"15412.8"	"12806.2"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"2458"	"FBgn0001218"	"FBgn0001218"	"0.000"	"252.029"	"62"	"40"	"182"	"34"	"656"	"72.2"	"5.36"	"3357"	"40"	"0"	"20398.1"	"20632.2"	"23735.3"	"15751.7"	"21931.1"	"17466.4"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"4517"	"FBgn0005632"	"FBgn0005632"	"0.000"	"250.094"	"30"	"73"	"92"	"73"	"2778"	"310.9"	"6.05"	"2337"	"73"	"0"	"12941.6"	"12137.7"	"16246.5"	"11107.8"	"12792.6"	"11078.9"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"3753"	"FBgn0038535"	"FBgn0038535"	"0.000"	"248.473"	"62"	"45"	"125"	"45"	"874"	"98.5"	"7.34"	"2794"	"45"	"0"	"17399.8"	"16432.0"	"21364.6"	"14673.2"	"19225.4"	"16354.3"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"2284"	"FBgn0263231"	"FBgn0263231"	"0.000"	"247.501"	"60"	"38"	"136"	"36"	"801"	"85.4"	"7.77"	"4478"	"38"	"3"	"15041.5"	"14359.5"	"19125.8"	"12442.4"	"17064.2"	"13971.5"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"1648"	"FBgn0003887"	"FBgn0003887"	"0.000"	"246.960"	"59"	"22"	"180"	"11"	"456"	"51.3"	"5.01"	"3472"	"22"	"28"	"23191.1"	"23937.8"	"32974.9"	"18093.4"	"26571.8"	"23308.1"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"3170"	"FBgn0003891"	"FBgn0003891"	"0.000"	"242.826"	"34"	"74"	"97"	"74"	"2515"	"285.1"	"6.46"	"1924"	"74"	"0"	"14800.4"	"13657.9"	"19558.0"	"12607.8"	"14637.7"	"13013.9"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"3993"	"FBgn0261618"	"FBgn0261618"	"0.000"	"242.002"	"44"	"55"	"115"	"55"	"1673"	"178.0"	"9.60"	"2691"	"55"	"0"	"10503.6"	"9655.1"	"12361.0"	"8130.1"	"11429.8"	"9267.8"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"228"	"FBgn0040232"	"FBgn0040232"	"0.000"	"241.919"	"39"	"78"	"89"	"74"	"2189"	"251.3"	"5.19"	"1762"	"78"	"4"	"11246.8"	"10385.9"	"12868.9"	"9943.5"	"10167.4"	"8454.7"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"2825"	"FBgn0000319"	"FBgn0000319"	"0.000"	"241.049"	"38"	"60"	"104"	"60"	"1678"	"191.1"	"5.72"	"2261"	"60"	"0"	"14202.6"	"13094.5"	"18905.0"	"11996.0"	"15095.9"	"12668.4"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"2283"	"FBgn0033342"	"FBgn0033342"	"0.000"	"238.553"	"70"	"33"	"162"	"33"	"546"	"59.4"	"5.31"	"4023"	"33"	"0"	"29766.1"	"28362.3"	"39384.8"	"25525.0"	"31007.9"	"26194.2"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"4516"	"FBgn0011703"	"FBgn0011703"	"0.000"	"237.001"	"47"	"34"	"117"	"34"	"812"	"91.9"	"7.46"	"2601"	"34"	"0"	"18406.5"	"17602.7"	"22966.5"	"15245.3"	"18238.7"	"15280.8"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"4580"	"FBgn0027094"	"FBgn0027094"	"0.000"	"236.260"	"52"	"42"	"106"	"42"	"966"	"107.7"	"6.13"	"2546"	"42"	"0"	"15669.9"	"14776.1"	"20261.6"	"12712.2"	"16768.4"	"14411.9"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"2787"	"FBgn0000579"	"FBgn0000579"	"0.000"	"233.218"	"62"	"25"	"201"	"25"	"500"	"54.3"	"8.53"	"3523"	"25"	"0"	"21999.8"	"22263.6"	"26245.2"	"18234.7"	"23428.9"	"19058.1"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"900"	"FBgn0028692"	"FBgn0028692"	"0.000"	"233.163"	"52"	"52"	"141"	"52"	"1029"	"114.1"	"5.19"	"3013"	"52"	"0"	"21032.3"	"20775.1"	"27035.8"	"17015.6"	"22399.7"	"18726.2"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"1729"	"FBgn0004419"	"FBgn0004419"	"0.000"	"232.675"	"77"	"30"	"190"	"30"	"459"	"51.9"	"7.64"	"4336"	"30"	"0"	"26142.7"	"25056.8"	"34926.1"	"22996.6"	"25067.0"	"23318.9"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"4137"	"FBgn0027835"	"FBgn0027835"	"0.000"	"231.979"	"51"	"59"	"111"	"58"	"1301"	"144.2"	"6.20"	"2445"	"59"	"2"	"15260.1"	"14760.5"	"19824.5"	"12680.7"	"16301.7"	"13546.5"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"4897"	"FBgn0003189"	"FBgn0003189"	"0.000"	"231.966"	"34"	"68"	"98"	"68"	"2224"	"246.5"	"6.64"	"1896"	"68"	"0"	"15287.9"	"14284.2"	"19977.4"	"13387.6"	"15114.6"	"12545.4"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"15"	"FBgn0033246"	"FBgn0033246"	"0.000"	"231.762"	"35"	"69"	"89"	"69"	"2482"	"278.4"	"6.24"	"2106"	"69"	"0"	"10303.2"	"9894.3"	"14208.3"	"9051.1"	"11344.9"	"9954.5"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"2784"	"FBgn0004363"	"FBgn0004363"	"0.000"	"228.385"	"91"	"25"	"201"	"25"	"282"	"30.5"	"6.96"	"4827"	"25"	"0"	"19573.6"	"20263.3"	"28915.0"	"16309.4"	"24465.1"	"19690.6"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"4170"	"FBgn0022893"	"FBgn0022893"	"0.000"	"227.485"	"95"	"28"	"154"	"28"	"183"	"18.8"	"4.27"	"4413"	"28"	"0"	"16248.8"	"15476.0"	"20624.8"	"13794.1"	"20020.0"	"17008.2"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"4616"	"FBgn0001220"	"FBgn0001220"	"0.000"	"227.434"	"55"	"40"	"119"	"39"	"686"	"74.0"	"6.35"	"2457"	"40"	"0"	"16744.5"	"15349.9"	"19554.9"	"12732.2"	"17426.4"	"14564.3"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"3480"	"FBgn0037249"	"FBgn0037249"	"0.000"	"227.126"	"42"	"58"	"120"	"58"	"1140"	"133.8"	"9.01"	"2169"	"58"	"0"	"17748.9"	"16813.7"	"22251.0"	"14700.3"	"19000.0"	"15769.1"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"2872"	"FBgn0032679"	"FBgn0032679"	"0.000"	"226.051"	"49"	"65"	"99"	"65"	"1412"	"157.2"	"7.14"	"2413"	"65"	"0"	"15550.9"	"14571.6"	"19740.6"	"11412.9"	"16918.4"	"14131.8"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"855"	"FBgn0039959"	"FBgn0039959"	"0.000"	"224.260"	"29"	"77"	"99"	"76"	"2630"	"293.7"	"7.03"	"1663"	"77"	"1"	"15441.1"	"14463.1"	"21082.3"	"12385.2"	"16699.1"	"14157.4"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"884"	"FBgn0267385"	"FBgn0267385"	"0.000"	"224.239"	"69"	"29"	"163"	"29"	"533"	"57.4"	"7.44"	"4723"	"29"	"0"	"17959.9"	"18079.3"	"26821.9"	"17200.0"	"19192.7"	"17442.8"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"3222"	"FBgn0029688"	"FBgn0029688"	"0.000"	"220.677"	"35"	"72"	"77"	"72"	"2779"	"315.7"	"4.86"	"2020"	"72"	"0"	"6480.6"	"5958.3"	"7652.6"	"5402.9"	"6963.5"	"6036.0"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"3332"	"FBgn0263594"	"FBgn0263594"	"0.000"	"219.964"	"52"	"29"	"126"	"29"	"545"	"59.7"	"9.06"	"3578"	"29"	"0"	"13516.9"	"12618.8"	"17789.8"	"10375.6"	"15492.1"	"12855.6"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"401"	"FBgn0265297"	"FBgn0265297"	"0.000"	"218.780"	"64"	"33"	"156"	"33"	"634"	"69.9"	"9.31"	"3703"	"33"	"0"	"19090.1"	"18230.0"	"24240.4"	"13367.7"	"20947.7"	"16705.3"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"208"	"FBgn0026620"	"FBgn0026620"	"0.000"	"218.401"	"49"	"51"	"91"	"51"	"1322"	"147.1"	"4.98"	"2030"	"51"	"0"	"12143.7"	"11102.7"	"13467.5"	"10203.1"	"12542.3"	"10310.1"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"3823"	"FBgn0015245"	"FBgn0015245"	"0.000"	"218.335"	"71"	"39"	"155"	"39"	"573"	"60.8"	"5.49"	"3774"	"39"	"0"	"17367.5"	"17857.8"	"23707.3"	"14095.9"	"20204.3"	"16646.5"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"3455"	"FBgn0037632"	"FBgn0037632"	"0.000"	"216.939"	"73"	"34"	"127"	"34"	"544"	"59.3"	"6.34"	"2516"	"34"	"0"	"21657.9"	"21026.0"	"28618.2"	"18758.7"	"22601.9"	"19334.8"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"268"	"FBgn0042134"	"FBgn0042134"	"0.000"	"215.260"	"43"	"30"	"124"	"30"	"961"	"103.5"	"6.51"	"3754"	"30"	"0"	"12433.2"	"12071.4"	"15746.4"	"9993.1"	"14218.5"	"11600.0"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"4292"	"FBgn0011211"	"FBgn0011211"	"0.000"	"214.532"	"60"	"34"	"185"	"34"	"552"	"59.4"	"9.01"	"3515"	"34"	"0"	"29705.5"	"28290.5"	"38043.0"	"24052.6"	"31564.7"	"26031.8"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"476"	"FBgn0267911"	"FBgn0267911"	"0.000"	"214.323"	"20"	"74"	"81"	"74"	"4479"	"496.6"	"4.87"	"1955"	"74"	"0"	"7916.0"	"6793.4"	"11098.0"	"7058.7"	"11006.6"	"8786.2"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
"False"	"High"	"IsMasterProtein"	"5283"	"FBgn0037607"	"FBgn0037607"	"0.000"	"214.242"	"63"	"31"	"128"	"31"	"626"	"68.0"	"7.11"	"2813"	"31"	"0"	"19498.2"	"18846.1"	"24724.2"	"16104.3"	"19818.7"	"16844.0"	"High"	"High"	"High"	"High"	"High"	"High"	"1"
