# submitted_item	validated_id	current_symbol
dec1	FBgn0000427	dec-1
Ada	FBgn0264855	AP-2alpha
Ada1-1	FBgn0051865	Ada1-1
Adam	FBgn0027619	eIF3j
ade2	FBgn0000052	Pfas
ade3	FBgn0000053	Gart
ade5	FBgn0020513	Paics
Adf1	FBgn0284249	Adf1
Adgf-A	FBgn0036752	Adgf-A
Adh	FBgn0000055	Adh
Adk2	FBgn0036337	Adk2
Adk2	FBgn0283494	Ak2
Adk3	FBgn0026602	Adk3
Adk3	FBgn0042094	Ak3
adp	FBgn0000057	adp
aft	FBgn0026309	aft
ago	FBgn0041171	ago
ago	FBgn0087035	AGO2
AGO1	FBgn0262739	AGO1
AGO2	FBgn0087035	AGO2
Ahcy13	FBgn0014455	Ahcy
AIF	FBgn0031392	AIF
Ak6	FBgn0033754	Ak6
Akap200	FBgn0027932	Akap200
Akt1	FBgn0010379	Akt1
Akt1	FBtp0014557	P{UAS-Akt1.HA}
Alas	FBgn0020764	Alas
alc	FBgn0260972	alc
Ald	FBgn0000063	Mps1
Ald	FBgn0000064	Ald1
Aldh	FBgn0012036	Aldh
Aldh-III	FBgn0010548	Aldh-III
Alg-2	FBgn0086378	Alg-2
alien	FBgn0013746	alien
ALiX	FBgn0086346	ALiX
alph	FBgn0086361	alph
alpha4GT1	FBgn0031491	alpha4GT1
alpha-Adaptin	FBgn0264855	AP-2alpha
alpha-Adaptin	FBgn0264855	AP-2alpha
alpha-Cat	FBgn0010215	alpha-Cat
alpha-Cat	FBtp0092295	P{UASp-alpha-Cat.D}
alphaCop	FBgn0025725	alphaCOP
alpha-Est1	FBgn0015568	alpha-Est1
alpha-Est10	FBgn0015569	alpha-Est10
alpha-Est3	FBgn0015571	alpha-Est3
alpha-Est5	FBgn0261393	alpha-Est5
alpha-Est7	FBgn0015575	alpha-Est7
alpha-Est9	FBgn0015577	alpha-Est9
alpha-Man-I	FBgn0259170	alpha-Man-Ia
alpha-Spec	FBgn0250789	alpha-Spec
alphaTub67C	FBgn0087040	alphaTub67C
alphaTub84B	FBgn0003884	alphaTub84B
alphaTub85E	FBgn0003886	alphaTub85E
alt	FBgn0038535	alt
Aly	FBgn0004372	aly
Aly	FBgn0010774	Ref1
amd	FBgn0000075	amd
Amph	FBgn0027356	Amph
Amy-p	FBgn0000079	Amy-p
ana2	FBgn0027513	ana2
ana3	FBgn0266111	ana3
Ank	FBgn0011747	Ank
Ank2	FBgn0261788	Ank2
AnnIX	FBgn0000083	AnxB9
AnnIX	FBgn0000083	AnxB9
AnnX	FBgn0000084	AnxB10
anon1A3	FBgn0022349	CG1910
anon2A5	FBgn0022344	CG10340
anon-35F/36A	FBgn0014092	CG4278
anon-37B-2	FBgn0032746	CG10470
anon-60Da	FBgn0284252	Letm1
anon-66Db	FBgn0017429	CG5989
anon-84Ea	FBgn0014930	CG2846
anon-i1	FBgn0015359	CG2034
Anp32a	unknown ID	-
Ant2	FBgn0025111	Ant2
Anxb11	FBgn0030749	AnxB11
Aos1	FBgn0029512	Aos1
AP-1gamma	FBgn0030089	AP-1gamma
AP-1sigma	FBgn0039132	AP-1sigma
AP-2sigma	FBgn0043012	AP-2sigma
AP-2sigma	FBal0131822	AP-2sigma[KG02457]
AP-47	FBgn0024833	AP-1mu
AP-50	FBgn0263351	AP-2mu
Apc	FBgn0015589	Apc
Apc	FBgn0001027	Fs(3)Apc
Apc2	FBgn0026598	Apc2
Apc2	FBgn0002791	mr
APC4	FBgn0052707	APC4
APC7	FBgn0029879	APC7
ApepP	FBgn0026150	ApepP
Aph-4	FBgn0016123	Alp4
Aph-4	FBal0000671	Alp1[F]
aPKC	FBgn0261854	aPKC
Aprt	FBgn0000109	Aprt
Aps	FBgn0036111	Aps
aralar1	FBgn0028646	aralar1
Arc1	FBgn0033926	Arc1
Arc42	FBgn0038742	Arc42
Arc-p20	FBgn0284255	Arpc4
Arc-p34	FBgn0032859	Arpc2
Ard1	FBgn0263251	vnc
aret	FBgn0000114	bru1
Arf102F	FBgn0013749	Arf102F
Arf51F	FBgn0013750	Arf51F
Arf51F	FBgn0013750	Arf51F
Arf72A	FBgn0000115	Arl1
Arf79F	FBgn0010348	Arf79F
Arf79F	FBgn0010348	Arf79F
Arf84F	FBgn0004908	Arl2
arg	FBgn0023535	arg
arg	FBgn0004569	aos
Argk	FBgn0000116	Argk
ari-1	FBgn0017418	ari-1
Arl8	FBgn0037551	Arl8
arm	FBgn0000117	arm
arm	FBtp0001210	P{GAL4-arm.S}
arm	FBgn0000117	arm
arm	FBtp0001210	P{GAL4-arm.S}
arm	FBgn0000117	arm
arm	FBtp0001210	P{GAL4-arm.S}
arm	FBgn0000117	arm
arm	FBtp0001210	P{GAL4-arm.S}
armi	FBgn0041164	armi
Arp11	FBgn0031050	Arp10
Arp14D	FBgn0011742	Arp2
Arp14D	FBgn0011742	Arp2
Arp66B	FBgn0262716	Arp3
Arp8	FBgn0030877	Arp8
Arp87C	FBgn0011745	Arp1
Arpc3A	FBgn0038369	Arpc3A
ARP-like	FBgn0027095	Manf
Art1	FBgn0037834	Art1
Art3	FBgn0038306	Art3
Art4	FBgn0037770	Art4
Art7	FBgn0034817	Art7
Art8	FBgn0032329	Art8
As	FBgn0061469	Ube3a
asf1	FBgn0029094	asf1
ash2	FBgn0000139	ash2
asl	FBgn0261004	asl
asp	FBgn0000140	asp
asp	FBal0000773	asp[1]
asparagine-synthetase	FBgn0270926	AsnS
asrij	FBgn0034793	asrij
ast	FBgn0015905	ast
ast	FBgn0015591	AstA
ast	FBal0000774	ast[1]
Ate1	FBgn0025720	Ate1
Ate1	FBgn0025720	Ate1
Atg1	FBgn0260945	Atg1
Atg12	FBgn0036255	Atg12
Atg18	FBgn0035850	Atg18a
Atg18	FBgn0032935	Atg18b
Atg4	FBgn0038325	Atg4b
Atg4	FBgn0031298	Atg4a
Atg5	FBgn0029943	Atg5
Atg7	FBgn0034366	Atg7
Atg8a	FBgn0052672	Atg8a
Atg9	FBgn0034110	Atg9
atl	FBgn0039213	atl
atl	FBgn0037526	ArgRS-m
atms	FBgn0010750	atms
ATP7	FBgn0030343	ATP7
Atpalpha	FBgn0002921	Atpalpha
Atpalpha	FBal0009413	Atpalpha[01453a]
Atpalpha	FBgn0002921	Atpalpha
Atpalpha	FBal0009413	Atpalpha[01453a]
ATPCL	FBgn0020236	ATPCL
ATPCL	FBgn0020236	ATPCL
ATPsyn-b	FBgn0010217	ATPsynbeta
ATPsyn-b	FBgn0019644	ATPsynB
ATPsyn-beta	FBgn0010217	ATPsynbeta
ATPsyn-Cf6	FBgn0016119	ATPsynCF6
ATPsyn-d	FBgn0016120	ATPsynD
ATPsyn-gamma	FBgn0020235	ATPsyngamma
AttC	FBgn0041579	AttC
Atu	FBgn0019637	Atu
Atx2	FBgn0041188	Atx2
aub	FBgn0000146	aub
aur	FBgn0000147	aurA
Aut1	FBgn0036813	Atg3
aux	FBgn0037218	aux
awd	FBgn0000150	awd
Axs	FBgn0000152	Axs
B52	FBgn0004587	B52
B52	FBab0006748	T(1;Y)B52
B52	FBgn0044007	Su(rst)B52
B52	FBal0121934	Su(rst)B52[B52]
B52	FBtp0056125	P{UAS-VGlut.B52.GFP}
baf	FBgn0031977	baf
bai	FBgn0045866	bai
bai	FBal0159471	bai[1]
Baldspot	FBgn0260960	Baldspot
ball	FBgn0027889	ball
Bap	FBgn0010380	AP-1-2beta
Bap	FBgn0004862	bap
Bap170	FBgn0042085	Bap170
Bap55	FBgn0025716	Bap55
Bap60	FBgn0025463	Bap60
barr	FBgn0014127	barr
bbx	FBgn0024251	bbx
Bc	FBgn0283437	PPO1
Bc	FBgn0002022	Catsup
Bc	FBgn0013279	Hsp70Bc
Bc	FBal0001073	PPO1[Bc]
BcDNA.GH02220	unknown ID	-
BcDNA.GH02431	unknown ID	-
BcDNA.GH02678	unknown ID	-
BcDNA.GH02901	unknown ID	-
BcDNA.GH03377	unknown ID	-
BcDNA.GH04637	unknown ID	-
BcDNA.GH04962	unknown ID	-
BcDNA.GH04978	unknown ID	-
BcDNA.GH07269	unknown ID	-
BcDNA.GH07688	unknown ID	-
BcDNA.GH07774	unknown ID	-
BcDNA.GH07921	unknown ID	-
BcDNA.GH08385	unknown ID	-
BcDNA.GH10614	unknown ID	-
BcDNA.GH11023	unknown ID	-
BcDNA.GH11973	unknown ID	-
BcDNA.GH12326	unknown ID	-
BcDNA.LD23371	unknown ID	-
BcDNA.LD23587	unknown ID	-
BcDNA.LD23634	FBgn0028474	CG4119
BcDNA.LD23876	unknown ID	-
BcDNA.LD26050	unknown ID	-
BcDNA.LD27873	unknown ID	-
BcDNA.LD29892	unknown ID	-
BcDNA.LD34475	unknown ID	-
BcDNA:GH03108	FBgn0027599	CG2790
BcDNA:GH03163	FBgn0027598	cindr
BcDNA:GH04929	FBgn0026411	Lim1
BcDNA:GH06032	FBgn0027582	CG6230
BcDNA:LD22910	FBgn0028476	Usp1
bcn92	FBgn0013432	bcn92
bcn92	FBgn0013432	bcn92
bel	FBgn0263231	bel
Bem46	FBgn0025109	Bem46
ben	FBgn0000173	ben
ben	FBgn0052594	be
BEST:CK01296	FBgn0025700	CG5885
BEST:CK01510	FBgn0261794	kcc
BEST:CK02656	FBgn0025683	CG3164
BEST:LD13441	FBgn0028953	CG14478
BEST:LD13681	FBgn0026147	TTLL4A
BEST:LD25345	FBgn0027070	Ugt36E1
BEST:LD30049	FBgn0026570	CG5704
Best2	FBgn0035696	Best2
beta4GalT7	FBgn0039258	beta4GalT7
betaCop	FBgn0008635	betaCOP
betaCop	FBgn0008635	betaCOP
betaggt-I	FBgn0015000	betaggt-I
betaggt-II	FBgn0028970	betaggt-II
beta-Spec	FBgn0250788	beta-Spec
betaTub56D	FBgn0284243	betaTub56D
betaTub60D	FBgn0003888	betaTub60D
betaTub85D	FBgn0003889	betaTub85D
betaTub97EF	FBgn0003890	betaTub97EF
BG:DS00797.1	FBgn0028541	TM9SF4
BG:DS00929.2	FBgn0261881	l(2)35Be
BG:DS01068.6	FBgn0261535	l(2)34Fd
BG:DS02740.2	FBgn0028897	CG4935
BG:DS07295.3	FBgn0283467	Pol32
BG:DS07473.2	FBgn0028515	EndoGI
BG:DS09217.4	FBgn0028507	CG3793
BG4	FBgn0038928	Fadd
BG4	FBtp0016758	P{bam-GAL4:VP16}
bgm	FBgn0027348	bgm
bic	FBgn0000181	bic
bic	FBgn0000166	bcd
bic	FBal0001133	bic[1]
BicC	FBgn0000182	BicC
BicD	FBgn0000183	BicD
bif	FBgn0014133	bif
Bin1	FBgn0024491	Bin1
bin3	FBgn0263144	bin3
Bj1	FBgn0002638	Rcc1
Bka	FBgn0010520	Bka
bl	FBgn0000193	Bl
bl	FBgn0267791	HnRNP-K
blp	FBgn0038387	blp
blp	FBgn0260960	Baldspot
blue	FBgn0283709	blue
blue	FBgn0283503	Neurl4
blw	FBgn0011211	blw
Bmcp	FBgn0036199	Bmcp
bmm	FBgn0036449	bmm
bnb	FBgn0001090	bnb
boca	FBgn0004132	boca
boca	FBgn0004132	boca
bocksbeutel	FBgn0037719	bocks
boi	FBgn0040388	boi
bon	FBgn0023097	bon
bonsai	FBgn0026261	bonsai
bor	FBgn0287225	bor
borr	FBgn0032105	borr
br	FBgn0283451	br
brat	FBgn0010300	brat
Brd8	FBgn0039654	Brd8
Bre1	FBgn0086694	Bre1
brm	FBgn0000212	brm
brp	FBgn0259246	brp
bru-2	FBgn0262475	bru2
Bruce	FBgn0266717	Bruce
BRWD3	FBgn0011785	BRWD3
bs	FBgn0004101	bs
bs	FBgn0000240	bv
bsf	FBgn0284256	bsf
Bsg	FBgn0261822	Bsg
bsk	FBgn0000229	bsk
BthD	FBgn0030501	BthD
Btk29A	FBgn0003502	Btk29A
btz	FBgn0045862	btz
Bub3	FBgn0025457	Bub3
BubR1	FBgn0263855	BubR1
bun	FBgn0259176	bun
bur	FBgn0000239	bur
bur	FBal0001338	bur[1]
Bx42	FBgn0004856	Bx42
bys	FBgn0010292	bys
Bzd	FBgn0011566	Smyd3
c11.1	FBgn0040236	c11.1
c12.1	FBgn0040235	c12.1
c12.2	FBgn0040234	c12.2
c550	FBgn0038224	ATPsynE
ca	FBgn0000247	ca
ca	FBgn0002924	ncd
ca	FBal0001461	ca[1]
ca	FBal0049363	ca[unspecified]
CaBP1	FBgn0025678	CaBP1
cact	FBgn0000250	cact
cactin	FBgn0031114	cactin
Cad74A	FBgn0036715	Cad74A
Cad87A	FBgn0037963	Cad87A
Cad99C	FBgn0039709	Cad99C
Caf1	FBgn0033526	Caf1-105
Caf1	FBgn0036239	Pop2
Caf1	FBgn0030054	Caf1-180
Caf1	FBgn0263979	Caf1-55
Caf1-105	FBgn0033526	Caf1-105
CAH2	FBgn0027843	CAH2
Caki	FBgn0013759	CASK
CalpA	FBgn0012051	CalpA
CalpA	FBgn0012051	CalpA
CalpB	FBgn0025866	CalpB
Calx	FBgn0013995	Calx
Cam	FBgn0000253	Cam
Cam	FBgn0264607	CaMKII
CaMKI	FBgn0016126	CaMKI
CaMKII	FBgn0264607	CaMKII
CaMKII	FBgn0264607	CaMKII
cana	FBgn0040233	cana
CanA1	FBgn0010015	CanA1
CanA-14F	FBgn0267912	CanA-14F
CanB2	FBgn0015614	CanB2
Cap	FBgn0015615	SMC3
Cap	FBgn0261458	capt
Ca-P60A	FBgn0263006	SERCA
CAP-D2	FBgn0039680	Cap-D2
CAP-D2	FBgn0051989	Cap-D3
capt	FBgn0261458	capt
car	FBgn0000257	car
car	FBal0051717	car[unspecified]
car	FBgn0000257	car
car	FBal0051717	car[unspecified]
Cas	FBgn0022213	Cse1
Cas	FBgn0004878	cas
casp	FBgn0034068	casp
Cat	FBgn0000261	Cat
Cat	FBab0002301	Df(3L)Cat
Cat	FBgn0000303	ChAT
Cat	FBgn0005561	sv
Cat	FBal0015987	sv[spa-Cat]
Cat	FBtp0137331	P{UAS-Parp.Cat.EYFP}
cathD	FBgn0029093	cathD
Catsup	FBgn0002022	Catsup
caz	FBgn0285954	caz
caz	FBab0045825	Df(1)BSC759
Cbl	FBgn0020224	Cbl
CBP	FBgn0026144	CBP
CBP	FBgn0015218	eIF4E1
CBP	FBgn0261617	nej
Cbp20	FBgn0022943	Cbp20
Cbp80	FBgn0022942	Cbp80
cbx	FBgn0285964	ms(2)05704
cbx	FBgn0285962	CG46338
Cchl	FBgn0038925	Cchl
CCS	FBgn0010531	Ccs
Cct1	FBgn0041342	Pcyt1
Cct1	FBgn0003676	CCT1
Cct5	FBgn0010621	CCT5
Cctgamma	FBgn0015019	CCT3
Cctgamma	FBgn0015019	CCT3
cdc16	FBgn0025781	Cdc16
cdc2	FBgn0004106	Cdk1
cdc2	FBgn0001086	fzy
cdc23	FBgn0032863	Cdc23
Cdc27	FBgn0012058	Cdc27
cdc2c	FBgn0004107	Cdk2
cdc2rk	FBgn0013435	Cdc2rk
Cdc37	FBgn0011573	Cdc37
Cdc42	FBgn0010341	Cdc42
CDC45L	FBgn0026143	Cdc45
Cdep	FBgn0265082	Cdep
Cdk5	FBgn0013762	Cdk5
Cdk7	FBgn0263237	Cdk7
Cdk8	FBgn0015618	Cdk8
Cdk9	FBgn0019949	Cdk9
cdm	FBgn0261532	cdm
Ced-12	FBgn0032409	Ced-12
ced-6	FBgn0029092	ced-6
cenB1A	FBgn0039056	CenB1A
cer	FBgn0034443	cer
cg	FBgn0000289	cg
cg	FBgn0000289	cg
CG10031	FBgn0031563	CG10031
CG10038	FBgn0038013	CG10038
CG10050	FBgn0037492	CG10050
CG10055	FBgn0037482	CG10055
CG10057	FBgn0051510	CG31510
CG10057	FBgn0051108	TTLL5
CG10075	FBgn0035722	CG10075
CG10080	FBgn0034641	mahj
CG10083	FBgn0036372	Abp1
CG10092	FBgn0037526	ArgRS-m
CG10098	FBgn0037472	CG10098
CG10101	FBgn0037501	Ir84a
CG10103	FBgn0035715	Ist1
CG10107	FBgn0035713	velo
CG10144	FBgn0035704	Vps8
CG10153	FBgn0266723	Trs31
CG10157	FBgn0039099	GILT2
CG10158	FBgn0031871	Fgop2
CG10163	FBgn0035697	CG10163
CG10166	FBgn0032799	Dpm1
CG1017	FBgn0035294	Mfap1
CG10184	FBgn0039094	CG10184
CG10188	FBgn0032796	cyst
CG10189	FBgn0032793	CG10189
CG10191	FBgn0036354	Poc1
CG10194	FBgn0032790	CG10194
CG10208	FBgn0039118	CG10208
CG10214	FBgn0039115	CG10214
CG10217-RA	FBtr0084465	udt-RA
CG10220	FBgn0053506	CG33506
CG10220	FBgn0053505	U3-55K
CG10222	FBgn0036356	CG10222
CG10225	FBgn0039110	RanBP3
CG10237	FBgn0032783	CG10237
CG10238	FBgn0039280	Mocs2B
CG10251	FBgn0043005	prt
CG10254	FBgn0027512	CG10254
CG10263	FBgn0032812	Hakai
CG10265-RB	unknown ID	-
CG10268	FBgn0032811	CG10268
CG10277	FBgn0037442	gzl
CG10286	FBgn0037439	CG10286
CG10289	FBgn0035688	fmt
CG10306	FBgn0034654	eIF3k
CG10320	FBgn0034645	ND-B12
CG10321	FBgn0034643	CG10321
CG10323	FBgn0051999	CG31999
CG10324	FBgn0038454	CG10324
CG10326	FBgn0038453	Arl6IP1
CG10333	FBgn0032690	CG10333
CG10336	FBgn0032698	CG10336
CG10341	FBgn0032701	CG10341
CG10343	FBgn0032703	CG10343
CG10347	FBgn0030342	CG10347
CG10354	FBgn0031868	Rat1
CG10373	FBgn0032704	Jwa
CG10375	FBgn0039116	CG10375
CG10376	FBgn0032702	CG10376
CG10399	FBgn0031877	Hmgcl
CG10407	FBgn0038395	CG10407
CG1041	FBgn0037440	CRAT
CG10413	FBgn0032689	CG10413
CG10417	FBgn0033021	CG10417
CG10419	FBgn0036850	Gem2
CG10420	FBgn0039296	Sil1
CG10424	FBgn0036848	Naxd
CG10425	FBgn0039304	CG10425
CG10428	FBgn0032724	CG10428
CG10438	FBgn0061362	CG33785
CG10438	FBgn0061361	CG33786
CG10444	FBgn0034494	CG10444
CG10463	FBgn0032819	CG10463
CG10466	FBgn0032822	CG10466
CG10467	FBgn0035679	CG10467
CG10487	FBgn0052412	QC
CG10487	FBgn0052413	CG32413
CG10495	FBgn0032750	CG10495
CG10496	FBgn0034631	TAF1C-like
CG10512	FBgn0037057	CG10512
CG10527	FBgn0034583	CG10527
CG10535	FBgn0037926	Elp1
CG10555	FBgn0030034	CG10555
CG10565	FBgn0037051	CG10565
CG10575	FBgn0035632	Ppat-Dpck
CG10576	FBgn0035630	CG10576
CG10581	FBgn0037046	CG10581
CG10585	FBgn0037044	Pdss2
CG10590	FBgn0035622	TM9SF3
CG10600	FBgn0032717	CG10600
CG10602	FBgn0032721	CG10602
CG10602	FBgn0032720	mRpL13
CG10616	FBgn0036286	CG10616
CG10627	FBgn0036298	nst
CG10628	FBgn0032818	CG10628
CG10632	FBgn0036302	sowah
CG10634	FBgn0051102	CG31102
CG10634	FBgn0051098	CG31098
CG10635	FBgn0035603	Pfdn4
CG10638	FBgn0036290	CG10638
CG10639	FBgn0032729	L2HGDH
CG10641	FBgn0032731	Swip-1
CG10646	FBgn0036292	CG10646
CG10664	FBgn0032833	COX4
CG10671	FBgn0035586	Fitm
CG10672	FBgn0035588	CG10672
CG10673	FBgn0035590	Prpk
CG10680	FBgn0032836	CG10680
CG10688	FBgn0036300	Pmm2
CG10703	FBgn0037881	GCC88
CG10722	FBgn0032848	nesd
CG10731	FBgn0034081	CG10731
CG10754	FBgn0036314	Sf3a2
CG10777	FBgn0029979	mahe
CG10778	FBgn0029980	CG10778
CG1078	FBgn0037255	Fip1
CG10802	FBgn0029664	CG10802
CG10803	FBgn0029666	CG10803
CG10834	FBgn0032972	CG10834
CG10874	FBgn0031395	CG10874
CG10877	FBgn0038804	CG10877
CG10880	FBgn0031398	daed
CG10882	FBgn0262126	Sec24CD
CG10898	FBgn0037911	CG10898
CG10903	FBgn0037543	CG10903
CG1091	FBgn0037470	Tailor
CG10914	FBgn0034307	CG10914
CG10932	FBgn0029969	CG10932
CG10960	FBgn0036316	CG10960
CG10971	FBgn0036309	Hip1
CG10973	FBgn0036306	CG10973
CG10977	FBgn0053523	CG33523
CG10981	FBgn0037384	dgrn
CG10984	FBgn0036305	CG10984
CG10990	FBgn0030520	Pdcd4
CG10992	FBgn0030521	CtsB1
CG11005	FBgn0051549	CG31549
CG11005	FBgn0051551	CG31551
CG11006	FBgn0262714	Sap130
CG11007	FBgn0034455	CG11007
CG11009	FBgn0036318	Wbp2
CG11015	FBgn0031830	COX5B
CG11029	FBgn0031735	CG11029
CG1103	FBgn0037235	CG1103
CG11030	FBgn0031736	CG11030
CG11034	FBgn0031741	CG11034
CG1104	FBgn0037467	Ufl1
CG1105	FBgn0037465	CG1105
CG11063	FBgn0030530	jub
CG11076	FBgn0039929	CG11076
CG11089	FBgn0039241	CG11089
CG1109	FBgn0046222	Wdr33
CG11092	FBgn0027537	Nup93-1
CG11107	FBgn0033160	Dhx15
CG11109-RB	FBtr0078552	CG11109-RB
CG11120	FBgn0039250	Mink
CG11123	FBgn0033169	CG11123
CG11127	FBgn0033178	CG11127
CG11133	FBgn0037205	BoYb
CG11134	FBgn0030518	CG11134
CG11137	FBgn0037199	EMC4
CG11147	FBgn0031734	CG11147
CG11148	FBgn0039936	Gyf
CG1115	FBgn0037299	Vps37B
CG11151	FBgn0030519	CG11151
